Black-bellied Whistling-Duck,1,0
Fulvous Whistling-Duck,1,0
Emperor Goose,2,0
Snow Goose,1,0
Ross's Goose,1,0
Graylag Goose,5,0
Greater White-fronted Goose,1,0
Lesser White-fronted Goose,5,0
Taiga Bean-Goose,3,0
Tundra Bean-Goose,3,0
Pink-footed Goose,4,0
Brant,1,0
Barnacle Goose,4,0
Cackling Goose,1,0
Canada Goose,1,0
Hawaiian Goose,2,0
Mute Swan,1,1
Trumpeter Swan,1,0
Tundra Swan,1,0
Whooper Swan,3,0
Egyptian Goose,2,1
Common Shelduck,4,0
Muscovy Duck,2,1
Wood Duck,1,0
Baikal Teal,4,0
Garganey,4,0
Blue-winged Teal,1,0
Cinnamon Teal,1,0
Northern Shoveler,1,0
Gadwall,1,0
Falcated Duck,4,0
Eurasian Wigeon,2,0
American Wigeon,1,0
Laysan Duck,3,0
Hawaiian Duck,2,0
Eastern Spot-billed Duck,4,0
Mallard,1,0
American Black Duck,1,0
Mottled Duck,1,0
White-cheeked Pintail,4,0
Northern Pintail,1,0
Green-winged Teal,1,0
Canvasback,1,0
Redhead,1,0
Common Pochard,3,0
Ring-necked Duck,1,0
Tufted Duck,3,0
Greater Scaup,1,0
Lesser Scaup,1,0
Steller's Eider,3,0
Spectacled Eider,3,0
King Eider,2,0
Common Eider,1,0
Harlequin Duck,1,0
Labrador Duck,6,0
Surf Scoter,1,0
White-winged Scoter,1,0
Common Scoter,5,0
Black Scoter,1,0
Long-tailed Duck,1,0
Bufflehead,1,0
Common Goldeneye,1,0
Barrow's Goldeneye,1,0
Smew,3,0
Hooded Merganser,1,0
Common Merganser,1,0
Red-breasted Merganser,1,0
Masked Duck,3,0
Ruddy Duck,1,0
Plain Chachalaca,2,0
Mountain Quail,1,0
Northern Bobwhite,1,0
Scaled Quail,1,0
California Quail,1,0
Gambel's Quail,1,0
Montezuma Quail,2,0
Chukar,2,1
Gray Francolin,2,0
Black Francolin,2,0
Erckel's Francolin,2,0
Himalayan Snowcock,3,1
Gray Partridge,2,1
Red Junglefowl,2,0
Kalij Pheasant,2,0
Ring-necked Pheasant,1,1
Indian Peafowl,2,0
Ruffed Grouse,1,0
Greater Sage-Grouse,1,0
Gunnison Sage-Grouse,2,0
Spruce Grouse,2,0
Willow Ptarmigan,2,0
Rock Ptarmigan,2,0
White-tailed Ptarmigan,2,0
Dusky Grouse,2,0
Sooty Grouse,2,0
Sharp-tailed Grouse,2,0
Greater Prairie-Chicken,2,0
Lesser Prairie-Chicken,2,0
Wild Turkey,1,0
American Flamingo,3,0
Least Grebe,2,0
Pied-billed Grebe,1,0
Horned Grebe,1,0
Red-necked Grebe,1,0
Eared Grebe,1,0
Western Grebe,1,0
Clark's Grebe,1,0
Chestnut-bellied Sandgrouse,3,0
Rock Pigeon,1,1
Scaly-naped Pigeon,5,0
White-crowned Pigeon,2,0
Red-billed Pigeon,2,0
Band-tailed Pigeon,1,0
Oriental Turtle-Dove,4,0
European Turtle-Dove,5,0
Eurasian Collared-Dove,1,1
Spotted Dove,2,0
Zebra Dove,2,0
Passenger Pigeon,6,0
Inca Dove,1,0
Common Ground Dove,1,0
Ruddy Ground Dove,3,0
Ruddy Quail-Dove,5,0
Key West Quail-Dove,4,0
White-tipped Dove,2,0
White-winged Dove,1,0
Zenaida Dove,5,0
Mourning Dove,1,0
Common Cuckoo,3,0
Oriental Cuckoo,4,0
Yellow-billed Cuckoo,1,0
Mangrove Cuckoo,2,0
Black-billed Cuckoo,1,0
Greater Roadrunner,1,0
Smooth-billed Ani,3,0
Groove-billed Ani,2,0
Lesser Nighthawk,1,0
Common Nighthawk,1,0
Antillean Nighthawk,2,0
Common Pauraque,2,0
Common Poorwill,1,0
Chuck-will's-widow,1,0
Buff-collared Nightjar,3,0
Eastern Whip-poor-will,1,0
Mexican Whip-poor-will,2,0
Gray Nightjar,5,0
Black Swift,2,0
White-collared Swift,4,0
Chimney Swift,1,0
Vaux's Swift,1,0
White-throated Needletail,5,0
Mariana Swiftlet,3,0
Common Swift,5,0
Fork-tailed Swift,4,0
White-throated Swift,1,0
Antillean Palm-Swift,5,0
Mexican Violetear,3,0
Green-breasted Mango,4,0
Rivoli's Hummingbird,2,0
Plain-capped Starthroat,4,0
Amethyst-throated Hummingbird,5,0
Blue-throated Mountain-Gem,2,0
Bahama Woodstar,5,0
Lucifer Hummingbird,2,0
Ruby-throated Hummingbird,1,0
Black-chinned Hummingbird,1,0
Anna's Hummingbird,1,0
Costa's Hummingbird,1,0
Bumblebee Hummingbird,5,0
Broad-tailed Hummingbird,1,0
Rufous Hummingbird,1,0
Allen's Hummingbird,1,0
Calliope Hummingbird,1,0
Broad-billed Hummingbird,2,0
Berylline Hummingbird,3,0
Buff-bellied Hummingbird,2,0
Cinnamon Hummingbird,5,0
Violet-crowned Hummingbird,2,0
White-eared Hummingbird,3,0
Xantus's Hummingbird,5,0
Yellow Rail,2,0
Black Rail,2,0
Corn Crake,4,0
Ridgway's Rail,2,0
Clapper Rail,1,0
King Rail,1,0
Virginia Rail,1,0
Rufous-necked Wood-Rail,5,0
Sora,1,0
Laysan Rail,6,0
Hawaiian Rail,6,0
Paint-billed Crake,5,0
Spotted Rail,5,0
Purple Gallinule,1,0
Gray-headed Swamphen,2,1
Common Gallinule,1,0
Common Moorhen,5,0
Eurasian Coot,5,0
Hawaiian Coot,2,0
American Coot,1,0
Sungrebe,5,0
Limpkin,2,0
Sandhill Crane,1,0
Common Crane,4,0
Whooping Crane,2,0
Double-striped Thick-knee,5,0
Black-winged Stilt,5,0
Black-necked Stilt,1,0
American Avocet,1,0
Eurasian Oystercatcher,5,0
American Oystercatcher,1,0
Black Oystercatcher,1,0
Northern Lapwing,4,0
Black-bellied Plover,1,0
European Golden-Plover,4,0
American Golden-Plover,1,0
Pacific Golden-Plover,2,0
Lesser Sand-Plover,3,0
Greater Sand-Plover,5,0
Collared Plover,5,0
Snowy Plover,1,0
Wilson's Plover,1,0
Common Ringed Plover,3,0
Semipalmated Plover,1,0
Piping Plover,2,0
Little Ringed Plover,5,0
Killdeer,1,0
Mountain Plover,2,0
Eurasian Dotterel,4,0
Northern Jacana,4,0
Upland Sandpiper,1,0
Bristle-thighed Curlew,3,0
Whimbrel,1,0
Little Curlew,5,0
Eskimo Curlew,6,0
Long-billed Curlew,1,0
Far Eastern Curlew,4,0
Slender-billed Curlew,6,0
Eurasian Curlew,4,0
Bar-tailed Godwit,2,0
Black-tailed Godwit,3,0
Hudsonian Godwit,1,0
Marbled Godwit,1,0
Ruddy Turnstone,1,0
Black Turnstone,1,0
Great Knot,4,0
Red Knot,1,0
Surfbird,1,0
Ruff,3,0
Broad-billed Sandpiper,4,0
Sharp-tailed Sandpiper,3,0
Stilt Sandpiper,1,0
Curlew Sandpiper,3,0
Temminck's Stint,3,0
Long-toed Stint,3,0
Spoon-billed Sandpiper,4,0
Red-necked Stint,3,0
Sanderling,1,0
Dunlin,1,0
Rock Sandpiper,2,0
Purple Sandpiper,1,0
Baird's Sandpiper,1,0
Little Stint,4,0
Least Sandpiper,1,0
White-rumped Sandpiper,1,0
Buff-breasted Sandpiper,1,0
Pectoral Sandpiper,1,0
Semipalmated Sandpiper,1,0
Western Sandpiper,1,0
Short-billed Dowitcher,1,0
Long-billed Dowitcher,1,0
Jack Snipe,4,0
Eurasian Woodcock,5,0
American Woodcock,1,0
Solitary Snipe,5,0
Pin-tailed Snipe,5,0
Common Snipe,3,0
Wilson's Snipe,1,0
Terek Sandpiper,3,0
Common Sandpiper,3,0
Spotted Sandpiper,1,0
Green Sandpiper,4,0
Solitary Sandpiper,1,0
Gray-tailed Tattler,3,0
Wandering Tattler,1,0
Lesser Yellowlegs,1,0
Willet,1,0
Spotted Redshank,4,0
Common Greenshank,3,0
Greater Yellowlegs,1,0
Common Redshank,5,0
Wood Sandpiper,2,0
Marsh Sandpiper,5,0
Wilson's Phalarope,1,0
Red-necked Phalarope,1,0
Red Phalarope,1,0
Oriental Pratincole,5,0
Great Skua,3,0
South Polar Skua,2,0
Pomarine Jaeger,1,0
Parasitic Jaeger,1,0
Long-tailed Jaeger,1,0
Dovekie,2,0
Common Murre,1,0
Thick-billed Murre,1,0
Razorbill,1,0
Great Auk,6,0
Black Guillemot,1,0
Pigeon Guillemot,1,0
Long-billed Murrelet,3,0
Marbled Murrelet,1,0
Kittlitz's Murrelet,2,0
Scripps's Murrelet,2,0
Guadalupe Murrelet,3,0
Craveri's Murrelet,3,0
Ancient Murrelet,2,0
Cassin's Auklet,1,0
Parakeet Auklet,2,0
Least Auklet,2,0
Whiskered Auklet,2,0
Crested Auklet,2,0
Rhinoceros Auklet,1,0
Atlantic Puffin,1,0
Horned Puffin,1,0
Tufted Puffin,1,0
Swallow-tailed Gull,5,0
Black-legged Kittiwake,1,0
Red-legged Kittiwake,2,0
Ivory Gull,3,0
Sabine's Gull,1,0
Bonaparte's Gull,1,0
Gray-hooded Gull,5,0
Black-headed Gull,3,0
Little Gull,3,0
Ross's Gull,3,0
Laughing Gull,1,0
Franklin's Gull,1,0
Belcher's Gull,5,0
Black-tailed Gull,4,0
Heermann's Gull,1,0
Mew Gull,1,0
Ring-billed Gull,1,0
Western Gull,1,0
Yellow-footed Gull,3,0
California Gull,1,0
Herring Gull,1,0
Yellow-legged Gull,4,0
Iceland Gull,1,0
Lesser Black-backed Gull,2,0
Slaty-backed Gull,3,0
Glaucous-winged Gull,1,0
Glaucous Gull,1,0
Great Black-backed Gull,1,0
Kelp Gull,4,0
Brown Noddy,2,0
Black Noddy,2,0
Blue-gray Noddy,3,0
White Tern,2,0
Sooty Tern,2,0
Gray-backed Tern,2,0
Bridled Tern,2,0
Aleutian Tern,2,0
Little Tern,4,0
Least Tern,1,0
Large-billed Tern,5,0
Gull-billed Tern,1,0
Caspian Tern,1,0
Black Tern,1,0
White-winged Tern,4,0
Whiskered Tern,5,0
Roseate Tern,2,0
Common Tern,1,0
Arctic Tern,1,0
Forster's Tern,1,0
Royal Tern,1,0
Great Crested Tern,5,0
Sandwich Tern,1,0
Elegant Tern,1,0
Black Skimmer,1,0
White-tailed Tropicbird,2,0
Red-billed Tropicbird,3,0
Red-tailed Tropicbird,3,0
Red-throated Loon,1,0
Arctic Loon,2,0
Pacific Loon,1,0
Common Loon,1,0
Yellow-billed Loon,2,0
Yellow-nosed Albatross,4,0
White-capped Albatross,4,0
Chatham Albatross,5,0
Salvin's Albatross,5,0
Black-browed Albatross,5,0
Light-mantled Albatross,5,0
Wandering Albatross,5,0
Laysan Albatross,2,0
Black-footed Albatross,1,0
Short-tailed Albatross,3,0
Northern Fulmar,1,0
Great-winged Petrel,5,0
Providence Petrel,4,0
Kermadec Petrel,4,0
Trindade Petrel,3,0
Herald Petrel,4,0
Murphy's Petrel,3,0
Mottled Petrel,2,0
Bermuda Petrel,3,0
Black-capped Petrel,2,0
Juan Fernandez Petrel,3,0
Hawaiian Petrel,3,0
White-necked Petrel,3,0
Bonin Petrel,3,0
Black-winged Petrel,3,0
Fea's Petrel,3,0
Zino's Petrel,5,0
Cook's Petrel,3,0
Stejneger's Petrel,4,0
Tahiti Petrel,5,0
Bulwer's Petrel,3,0
Jouanin's Petrel,5,0
White-chinned Petrel,5,0
Parkinson's Petrel,5,0
Streaked Shearwater,4,0
Cory's Shearwater,1,0
Cape Verde Shearwater,5,0
Wedge-tailed Shearwater,2,0
Buller's Shearwater,2,0
Short-tailed Shearwater,2,0
Sooty Shearwater,1,0
Great Shearwater,1,0
Pink-footed Shearwater,1,0
Flesh-footed Shearwater,3,0
Christmas Shearwater,3,0
Manx Shearwater,2,0
Newell's Shearwater,3,0
Bryan's Shearwater,5,0
Black-vented Shearwater,2,0
Audubon's Shearwater,1,0
Barolo Shearwater,5,0
Wilson's Storm-Petrel,1,0
White-faced Storm-Petrel,3,0
Black-bellied Storm-Petrel,5,0
European Storm-Petrel,4,0
Fork-tailed Storm-Petrel,2,0
Ringed Storm-Petrel,5,0
Swinhoe's Storm-Petrel,5,0
Leach's Storm-Petrel,1,0
Townsend's Storm-Petrel,3,0
Ashy Storm-Petrel,2,0
Band-rumped Storm-Petrel,2,0
Wedge-rumped Storm-Petrel,4,0
Black Storm-Petrel,2,0
Tristram's Storm-Petrel,3,0
Least Storm-Petrel,3,0
Jabiru,4,0
Wood Stork,1,0
Magnificent Frigatebird,1,0
Great Frigatebird,3,0
Lesser Frigatebird,4,0
Masked Booby,3,0
Nazca Booby,4,0
Blue-footed Booby,4,0
Brown Booby,2,0
Red-footed Booby,2,0
Northern Gannet,1,0
Brandt's Cormorant,1,0
Neotropic Cormorant,1,0
Double-crested Cormorant,1,0
Great Cormorant,1,0
Red-faced Cormorant,2,0
Pelagic Cormorant,1,0
Anhinga,1,0
American White Pelican,1,0
Brown Pelican,1,0
American Bittern,1,0
Yellow Bittern,5,0
Least Bittern,1,0
Bare-throated Tiger-Heron,5,0
Great Blue Heron,1,0
Gray Heron,5,0
Great Egret,1,0
Intermediate Egret,5,0
Chinese Egret,5,0
Little Egret,4,0
Western Reef-Heron,5,0
Snowy Egret,1,0
Little Blue Heron,1,0
Tricolored Heron,1,0
Reddish Egret,1,0
Cattle Egret,1,0
Chinese Pond-Heron,5,0
Green Heron,1,0
Black-crowned Night-Heron,1,0
Yellow-crowned Night-Heron,1,0
White Ibis,1,0
Scarlet Ibis,5,0
Glossy Ibis,1,0
White-faced Ibis,1,0
Roseate Spoonbill,1,0
Black Vulture,1,0
Turkey Vulture,1,0
California Condor,2,0
Osprey,1,0
White-tailed Kite,1,0
Hook-billed Kite,3,0
Swallow-tailed Kite,1,0
Golden Eagle,1,0
Double-toothed Kite,5,0
Northern Harrier,1,0
Chinese Sparrowhawk,5,0
Sharp-shinned Hawk,1,0
Cooper's Hawk,1,0
Northern Goshawk,1,0
Black Kite,5,0
Bald Eagle,1,0
White-tailed Eagle,4,0
Steller's Sea-Eagle,4,0
Mississippi Kite,1,0
Crane Hawk,5,0
Snail Kite,2,0
Common Black Hawk,2,0
Great Black Hawk,5,0
Roadside Hawk,4,0
Harris's Hawk,1,0
White-tailed Hawk,2,0
Gray Hawk,2,0
Red-shouldered Hawk,1,0
Broad-winged Hawk,1,0
Hawaiian Hawk,2,0
Short-tailed Hawk,2,0
Swainson's Hawk,1,0
Zone-tailed Hawk,2,0
Red-tailed Hawk,1,0
Rough-legged Hawk,1,0
Ferruginous Hawk,1,0
Barn Owl,1,0
Oriental Scops-Owl,5,0
Flammulated Owl,2,0
Western Screech-Owl,1,0
Eastern Screech-Owl,1,0
Whiskered Screech-Owl,2,0
Great Horned Owl,1,0
Snowy Owl,2,0
Northern Hawk Owl,2,0
Northern Pygmy-Owl,2,0
Ferruginous Pygmy-Owl,3,0
Elf Owl,2,0
Burrowing Owl,1,0
Mottled Owl,5,0
Spotted Owl,2,0
Barred Owl,1,0
Great Gray Owl,2,0
Long-eared Owl,2,0
Stygian Owl,5,0
Short-eared Owl,1,0
Boreal Owl,2,0
Northern Saw-whet Owl,2,0
Northern Boobook,5,0
Elegant Trogon,2,0
Eared Quetzal,4,0
Eurasian Hoopoe,5,0
Ringed Kingfisher,2,0
Belted Kingfisher,1,0
Amazon Kingfisher,5,0
Green Kingfisher,2,0
Eurasian Wryneck,5,0
Lewis's Woodpecker,1,0
Red-headed Woodpecker,1,0
Acorn Woodpecker,1,0
Gila Woodpecker,1,0
Golden-fronted Woodpecker,1,0
Red-bellied Woodpecker,1,0
Williamson's Sapsucker,1,0
Yellow-bellied Sapsucker,1,0
Red-naped Sapsucker,1,0
Red-breasted Sapsucker,1,0
American Three-toed Woodpecker,2,0
Black-backed Woodpecker,2,0
Great Spotted Woodpecker,4,0
Downy Woodpecker,1,0
Nuttall's Woodpecker,1,0
Ladder-backed Woodpecker,1,0
Red-cockaded Woodpecker,2,0
Hairy Woodpecker,1,0
White-headed Woodpecker,1,0
Arizona Woodpecker,2,0
Northern Flicker,1,0
Gilded Flicker,2,0
Pileated Woodpecker,1,0
Ivory-billed Woodpecker,6,0
Collared Forest-Falcon,5,0
Crested Caracara,2,0
Eurasian Kestrel,4,0
American Kestrel,1,0
Red-footed Falcon,5,0
Merlin,1,0
Eurasian Hobby,4,0
Aplomado Falcon,3,0
Gyrfalcon,2,0
Peregrine Falcon,1,0
Prairie Falcon,1,0
Monk Parakeet,2,1
Carolina Parakeet,6,0
Nanday Parakeet,2,1
Green Parakeet,2,1
Thick-billed Parrot,6,0
Yellow-chevroned Parakeet,2,0
White-winged Parakeet,2,1
Red-crowned Parrot,2,1
Rose-ringed Parakeet,2,0
Rosy-faced Lovebird,2,1
Masked Tityra,5,0
Gray-collared Becard,5,0
Rose-throated Becard,3,0
Northern Beardless-Tyrannulet,2,0
Greenish Elaenia,5,0
White-crested Elaenia,5,0
Dusky-capped Flycatcher,2,0
