









Frequency of observations in the selected location(s).:
Number of taxa: 	397

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	97.0	92.0	94.0	113.0	58.0	81.0	88.0	75.0	65.0	91.0	82.0	141.0	152.0	300.0	426.0	528.0	176.0	77.0	47.0	34.0	23.0	27.0	18.0	33.0	36.0	31.0	31.0	41.0	63.0	25.0	29.0	57.0	32.0	35.0	28.0	78.0	41.0	58.0	46.0	62.0	58.0	61.0	48.0	63.0	43.0	55.0	65.0	116.0	

Black-bellied Whistling-Duck	0.5463917525773195	0.44565217391304346	0.4148936170212766	0.336283185840708	0.22413793103448276	0.12345679012345678	0.056818181818181816	0.08	0.06153846153846154	0.1978021978021978	0.3048780487804878	0.48936170212765956	0.5394736842105263	0.58	0.6384976525821596	0.6628787878787878	0.6420454545454546	0.6623376623376623	0.723404255319149	0.5294117647058824	0.6086956521739131	0.6296296296296297	0.8888888888888888	0.7272727272727273	0.7777777777777778	0.5483870967741935	0.8709677419354839	0.7073170731707317	0.7142857142857143	0.8	0.6206896551724138	0.6491228070175439	0.6875	0.7428571428571429	0.5	0.6153846153846154	0.6341463414634146	0.4827586206896552	0.5217391304347826	0.5161290322580645	0.5344827586206896	0.5245901639344263	0.6875	0.5555555555555556	0.4418604651162791	0.38181818181818183	0.2923076923076923	0.49137931034482757	
Fulvous Whistling-Duck	0.28865979381443296	0.20652173913043478	0.22340425531914893	0.23008849557522124	0.22413793103448276	0.06172839506172839	0.10227272727272728	0.09333333333333334	0.09230769230769231	0.2087912087912088	0.25609756097560976	0.3971631205673759	0.5789473684210527	0.59	0.6032863849765259	0.6875	0.6363636363636364	0.6363636363636364	0.7446808510638298	0.5882352941176471	0.6521739130434783	0.5555555555555556	0.7222222222222222	0.6060606060606061	0.6944444444444444	0.5161290322580645	0.7096774193548387	0.5853658536585366	0.47619047619047616	0.6	0.4482758620689655	0.45614035087719296	0.5	0.5714285714285714	0.35714285714285715	0.3974358974358974	0.4634146341463415	0.1896551724137931	0.30434782608695654	0.2903225806451613	0.3448275862068966	0.3442622950819672	0.4791666666666667	0.4126984126984127	0.37209302325581395	0.32727272727272727	0.18461538461538463	0.3448275862068966	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	0.0033333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	0.016129032258064516	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	
Snow Goose	0.7422680412371134	0.7282608695652174	0.776595744680851	0.6548672566371682	0.6551724137931034	0.6666666666666666	0.625	0.36	0.2	0.07692307692307693	0.036585365853658534	0.014184397163120567	0.0	0.0	0.002347417840375587	0.003787878787878788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.06451612903225806	0.1896551724137931	0.5409836065573771	0.8125	0.6349206349206349	0.7209302325581395	0.6363636363636364	0.6615384615384615	0.7241379310344828	
Ross's Goose	0.23711340206185566	0.2608695652173913	0.2553191489361702	0.21238938053097345	0.06896551724137931	0.04938271604938271	0.11363636363636363	0.06666666666666667	0.015384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.001893939393939394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.14754098360655737	0.125	0.1111111111111111	0.13953488372093023	0.16363636363636364	0.35384615384615387	0.2413793103448276	
Snow/Ross's Goose	0.010309278350515464	0.021739130434782608	0.031914893617021274	0.02654867256637168	0.0	0.0015	0.011363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.031746031746031744	0.0	0.03636363636363636	0.015384615384615385	0.034482758620689655	
Greater White-fronted Goose	0.6597938144329897	0.6304347826086957	0.6382978723404256	0.5575221238938053	0.5517241379310345	0.4074074074074074	0.4318181818181818	0.28	0.16923076923076924	0.01098901098901099	0.024390243902439025	0.0	0.0	0.0033333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.034482758620689655	0.13043478260869565	0.0967741935483871	0.10344827586206896	0.29508196721311475	0.2916666666666667	0.4126984126984127	0.46511627906976744	0.43636363636363634	0.5230769230769231	0.5775862068965517	
Cackling Goose	0.010309278350515464	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003787878787878788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015873015873015872	0.0	0.01818181818181818	0.046153846153846156	0.0	
