









Frequency of observations in the selected location(s).:
Number of taxa: 	349

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	24.0	23.0	28.0	30.0	19.0	17.0	26.0	18.0	27.0	24.0	41.0	48.0	51.0	88.0	139.0	147.0	47.0	16.0	23.0	17.0	5.0	9.0	3.0	10.0	11.0	8.0	4.0	10.0	22.0	8.0	30.0	14.0	13.0	8.0	10.0	36.0	20.0	16.0	20.0	21.0	18.0	18.0	18.0	23.0	13.0	21.0	25.0	20.0	

Black-bellied Whistling-Duck	0.7916666666666666	0.7391304347826086	0.6071428571428571	0.3	0.21052631578947367	0.17647058823529413	0.19230769230769232	0.1111111111111111	0.2222222222222222	0.2916666666666667	0.2926829268292683	0.5833333333333334	0.7254901960784313	0.625	0.7769784172661871	0.7551020408163265	0.8085106382978723	0.9375	0.782608695652174	0.7058823529411765	0.8	0.6666666666666666	1.0	0.5	0.8181818181818182	0.5	1.0	0.9	0.7727272727272727	0.875	0.6666666666666666	0.6428571428571429	0.7692307692307693	0.875	0.9	0.5833333333333334	0.95	0.8125	0.75	0.6190476190476191	0.8333333333333334	0.8333333333333334	0.6666666666666666	0.5652173913043478	0.46153846153846156	0.6190476190476191	0.68	0.8	
Fulvous Whistling-Duck	0.3333333333333333	0.30434782608695654	0.2857142857142857	0.3	0.15789473684210525	0.0	0.23076923076923078	0.1111111111111111	0.07407407407407407	0.16666666666666666	0.3170731707317073	0.5416666666666666	0.7843137254901961	0.7272727272727273	0.762589928057554	0.8163265306122449	0.8297872340425532	0.6875	0.9565217391304348	0.5882352941176471	0.6	0.7777777777777778	0.3333333333333333	0.4	0.5454545454545454	0.5	0.75	0.8	0.36363636363636365	0.75	0.3	0.5714285714285714	0.5384615384615384	0.375	0.4	0.3333333333333333	0.55	0.3125	0.3	0.5238095238095238	0.3333333333333333	0.4444444444444444	0.3888888888888889	0.2608695652173913	0.38461538461538464	0.2857142857142857	0.48	0.6	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.007194244604316547	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.5416666666666666	0.30434782608695654	0.42857142857142855	0.43333333333333335	0.42105263157894735	0.47058823529411764	0.19230769230769232	0.16666666666666666	0.14814814814814814	0.0	0.07317073170731707	0.0	0.0	0.0	0.007194244604316547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.16666666666666666	0.2222222222222222	0.43478260869565216	0.6153846153846154	0.38095238095238093	0.44	0.15	
Ross's Goose	0.041666666666666664	0.08695652173913043	0.14285714285714285	0.1	0.10526315789473684	0.11764705882352941	0.038461538461538464	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.05555555555555555	0.043478260869565216	0.0	0.0015	0.08	0.0	
Snow/Ross's Goose	0.0	0.0	0.03571428571428571	0.1	0.10526315789473684	0.058823529411764705	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.08695652173913043	0.0	0.047619047619047616	0.08	0.0	
Greater White-fronted Goose	0.2916666666666667	0.43478260869565216	0.2857142857142857	0.36666666666666664	0.2631578947368421	0.29411764705882354	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.1111111111111111	0.13043478260869565	0.23076923076923078	0.09523809523809523	0.24	0.05	
Cackling Goose	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	
