









Frequency of observations in the selected location(s).:
Number of taxa: 	413

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	132.0	131.0	130.0	165.0	107.0	141.0	188.0	179.0	139.0	190.0	183.0	208.0	126.0	142.0	146.0	79.0	53.0	38.0	47.0	35.0	35.0	25.0	23.0	37.0	38.0	29.0	41.0	32.0	31.0	33.0	36.0	70.0	49.0	33.0	49.0	49.0	41.0	28.0	55.0	79.0	60.0	64.0	78.0	89.0	85.0	99.0	115.0	223.0	

Black-bellied Whistling-Duck	0.0	0.022900763358778626	0.015384615384615385	0.012121212121212121	0.0	0.0	0.010638297872340425	0.00558659217877095	0.03597122302158273	0.04736842105263158	0.0273224043715847	0.038461538461538464	0.1349206349206349	0.13380281690140844	0.1917808219178082	0.26582278481012656	0.18867924528301888	0.3157894736842105	0.2553191489361702	0.2857142857142857	0.2	0.24	0.17391304347826086	0.2972972972972973	0.3157894736842105	0.3448275862068966	0.3170731707317073	0.28125	0.1935483870967742	0.15151515151515152	0.027777777777777776	0.11428571428571428	0.061224489795918366	0.06060606060606061	0.061224489795918366	0.08163265306122448	0.024390243902439025	0.0015	0.01818181818181818	0.012658227848101266	0.05	0.046875	0.01282051282051282	0.0449438202247191	0.023529411764705882	0.020202020202020204	0.017391304347826087	0.02242152466367713	
Fulvous Whistling-Duck	0.0	0.0	0.015384615384615385	0.006060606060606061	0.0	0.0	0.0015	0.0	0.0	0.0015	0.00546448087431694	0.0	0.0015	0.007042253521126761	0.00684931506849315	0.10126582278481013	0.03773584905660377	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.010101010101010102	0.008695652173913044	0.004484304932735426	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00684931506849315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.14393939393939395	0.1297709923664122	0.1076923076923077	0.08484848484848485	0.056074766355140186	0.07801418439716312	0.047872340425531915	0.0335195530726257	0.06474820143884892	0.010526315789473684	0.01092896174863388	0.0	0.007936507936507936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.08333333333333333	0.171875	0.15384615384615385	0.2247191011235955	0.2	0.1717171717171717	0.23478260869565218	0.20179372197309417	
Ross's Goose	0.030303030303030304	0.015267175572519083	0.015384615384615385	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.02564102564102564	0.033707865168539325	0.058823529411764705	0.030303030303030304	0.02608695652173913	0.013452914798206279	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.005319148936170213	0.00558659217877095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.007633587786259542	0.015384615384615385	0.006060606060606061	0.0	0.014184397163120567	0.015957446808510637	0.0	0.007194244604316547	0.005263157894736842	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07272727272727272	0.02531645569620253	0.06666666666666667	0.078125	0.02564102564102564	0.07865168539325842	0.011764705882352941	0.010101010101010102	0.017391304347826087	0.02242152466367713	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020202020202020204	0.0	0.0015	
