









Frequency of observations in the selected location(s).:
Number of taxa: 	330

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	107.0	95.0	145.0	164.0	104.0	102.0	117.0	121.0	88.0	93.0	83.0	73.0	41.0	56.0	35.0	36.0	8.0	4.0	7.0	16.0	10.0	16.0	7.0	9.0	6.0	4.0	3.0	7.0	2.0	2.0	5.0	2.0	3.0	1.0	8.0	10.0	8.0	6.0	8.0	33.0	138.0	172.0	76.0	58.0	43.0	47.0	44.0	55.0	

Black-bellied Whistling-Duck	0.009345794392523364	0.010526315789473684	0.013793103448275862	0.018292682926829267	0.019230769230769232	0.0196078431372549	0.03418803418803419	0.024793388429752067	0.011363636363636364	0.11827956989247312	0.21686746987951808	0.2328767123287671	0.5609756097560976	0.5357142857142857	0.2571428571428571	0.3333333333333333	0.375	0.75	0.42857142857142855	0.5625	0.6	0.8125	0.5714285714285714	0.6666666666666666	0.6666666666666666	0.75	1.0	0.2857142857142857	0.0	0.5	0.2	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.06060606060606061	0.021739130434782608	0.011627906976744186	0.039473684210526314	0.05172413793103448	0.046511627906976744	0.06382978723404255	0.045454545454545456	0.01818181818181818	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.009615384615384616	0.0	0.008547008547008548	0.0	0.0	0.010752688172043012	0.012048192771084338	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.1111111111111111	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.009345794392523364	0.021052631578947368	0.006896551724137931	0.0	0.0	0.00980392156862745	0.0	0.024793388429752067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.014492753623188406	0.011627906976744186	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.07476635514018691	0.0015	0.013793103448275862	0.006097560975609756	0.0	0.00980392156862745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050724637681159424	0.046511627906976744	0.0	0.017241379310344827	0.0	0.06382978723404255	0.06818181818181818	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	
Muscovy Duck (Domestic type)	0.11214953271028037	0.05263157894736842	0.034482758620689655	0.04878048780487805	0.038461538461538464	0.058823529411764705	0.008547008547008548	0.06611570247933884	0.045454545454545456	0.11827956989247312	0.08433734939759036	0.0136986301369863	0.1951219512195122	0.08928571428571429	0.05714285714285714	0.0	0.0	0.5	0.0	0.0625	0.0	0.0	0.0	0.0	0.16666666666666666	0.25	0.3333333333333333	0.2857142857142857	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.06060606060606061	0.036231884057971016	0.16279069767441862	0.07894736842105263	0.06896551724137931	0.13953488372093023	0.14893617021276595	0.25	0.07272727272727272	
Wood Duck	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014492753623188406	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.07476635514018691	0.17894736842105263	0.20689655172413793	0.2682926829268293	0.2692307692307692	0.3431372549019608	0.37606837606837606	0.33884297520661155	0.2840909090909091	0.22580645161290322	0.30120481927710846	0.3150684931506849	0.36585365853658536	0.23214285714285715	0.14285714285714285	0.1111111111111111	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.375	0.0	0.0	0.0	0.125	0.09090909090909091	0.06521739130434782	0.12790697674418605	0.13157894736842105	0.05172413793103448	0.2558139534883721	0.1276595744680851	0.2727272727272727	0.14545454545454545	
Cinnamon Teal	0.0	0.010526315789473684	0.0	0.0	0.0015	0.0	0.017094017094017096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007246376811594203	0.0	0.0	0.017241379310344827	0.0	0.0	0.022727272727272728	0.01818181818181818	
