









Frequency of observations in the selected location(s).:
Number of taxa: 	379

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	232.0	190.0	205.0	216.0	181.0	221.0	260.0	215.0	192.0	187.0	213.0	260.0	181.0	168.0	149.0	157.0	61.0	37.0	27.0	28.0	37.0	22.0	27.0	31.0	17.0	19.0	27.0	37.0	17.0	18.0	19.0	17.0	20.0	24.0	27.0	36.0	52.0	37.0	51.0	63.0	140.0	228.0	107.0	130.0	87.0	96.0	80.0	219.0	

Black-bellied Whistling-Duck	0.034482758620689655	0.04736842105263158	0.02926829268292683	0.041666666666666664	0.016574585635359115	0.01809954751131222	0.007692307692307693	0.013953488372093023	0.026041666666666668	0.12299465240641712	0.22535211267605634	0.20384615384615384	0.3756906077348066	0.375	0.3959731543624161	0.47770700636942676	0.29508196721311475	0.2702702702702703	0.48148148148148145	0.5	0.21621621621621623	0.36363636363636365	0.4074074074074074	0.3548387096774194	0.47058823529411764	0.3684210526315789	0.14814814814814814	0.16216216216216217	0.17647058823529413	0.1111111111111111	0.15789473684210525	0.11764705882352941	0.1	0.125	0.037037037037037035	0.1111111111111111	0.057692307692307696	0.02702702702702703	0.09803921568627451	0.015873015873015872	0.02857142857142857	0.02631578947368421	0.009345794392523364	0.06923076923076923	0.011494252873563218	0.020833333333333332	0.0125	0.0273972602739726	
Fulvous Whistling-Duck	0.004310344827586207	0.0	0.004878048780487805	0.0	0.0	0.0015	0.0	0.0	0.005208333333333333	0.0	0.0	0.0038461538461538464	0.011049723756906077	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0015	0.0	0.037037037037037035	0.0015	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043859649122807015	0.0	0.007692307692307693	0.0	0.0	0.0	0.0	
Snow Goose	0.01293103448275862	0.0	0.024390243902439025	0.0	0.0055248618784530384	0.013574660633484163	0.0038461538461538464	0.004651162790697674	0.0	0.0	0.004694835680751174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.015873015873015872	0.02142857142857143	0.03508771929824561	0.0015	0.015384615384615385	0.04597701149425287	0.03125	0.0125	0.0091324200913242	
Ross's Goose	0.004310344827586207	0.0	0.0	0.0	0.0	0.004524886877828055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02142857142857143	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005208333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.09913793103448276	0.06842105263157895	0.06341463414634146	0.037037037037037035	0.011049723756906077	0.004524886877828055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.0784313725490196	0.015873015873015872	0.11428571428571428	0.12719298245614036	0.056074766355140186	0.13076923076923078	0.14942528735632185	0.052083333333333336	0.075	0.0410958904109589	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	
goose sp.	0.0	0.005263157894736842	0.004878048780487805	0.004629629629629629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.008620689655172414	0.02631578947368421	0.0	0.009259259259259259	0.022099447513812154	0.03167420814479638	0.011538461538461539	0.004651162790697674	0.020833333333333332	0.03208556149732621	0.018779342723004695	0.011538461538461539	0.027624309392265192	0.017857142857142856	0.053691275167785234	0.0015	0.04918032786885246	0.02702702702702703	0.07407407407407407	0.03571428571428571	0.05405405405405406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007142857142857143	0.0015	0.0	0.0	0.0	0.010416666666666666	0.0125	0.0182648401826484	
Wood Duck	0.004310344827586207	0.010526315789473684	0.004878048780487805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043859649122807015	0.0	0.0	0.0	0.010416666666666666	0.0	0.0	
Blue-winged Teal	0.06465517241379311	0.04736842105263158	0.09268292682926829	0.0787037037037037	0.03867403314917127	0.06334841628959276	0.057692307692307696	0.06976744186046512	0.06770833333333333	0.0962566844919786	0.10328638497652583	0.08846153846153847	0.07734806629834254	0.05357142857142857	0.10067114093959731	0.050955414012738856	0.06557377049180328	0.05405405405405406	0.037037037037037035	0.0	0.0	0.0	0.0	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.037037037037037035	0.0	0.038461538461538464	0.02702702702702703	0.058823529411764705	0.06349206349206349	0.0	0.03508771929824561	0.009345794392523364	0.046153846153846156	0.011494252873563218	0.020833333333333332	0.025	0.0410958904109589	
Cinnamon Teal	0.01293103448275862	0.0	0.004878048780487805	0.009259259259259259	0.0	0.00904977375565611	0.011538461538461539	0.004651162790697674	0.005208333333333333	0.0053475935828877	0.018779342723004695	0.0	0.016574585635359115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.06465517241379311	0.09473684210526316	0.1073170731707317	0.09722222222222222	0.03867403314917127	0.04524886877828054	0.04230769230769231	0.07906976744186046	0.06770833333333333	0.058823529411764705	0.07981220657276995	0.07692307692307693	0.06077348066298342	0.05952380952380952	0.04697986577181208	0.01910828025477707	0.01639344262295082	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.02702702702702703	0.09803921568627451	0.015873015873015872	0.014285714285714285	0.043859649122807015	0.009345794392523364	0.007692307692307693	0.04597701149425287	0.020833333333333332	0.0625	0.0502283105022831	
Gadwall	0.06896551724137931	0.06842105263157895	0.11707317073170732	0.09259259259259259	0.027624309392265192	0.03619909502262444	0.026923076923076925	0.023255813953488372	0.052083333333333336	0.0374331550802139	0.046948356807511735	0.03461538461538462	0.016574585635359115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02142857142857143	0.10526315789473684	0.037383177570093455	0.023076923076923078	0.10344827586206896	0.03125	0.025	0.0319634703196347	
American Wigeon	0.04741379310344827	0.03684210526315789	0.04878048780487805	0.041666666666666664	0.0055248618784530384	0.02262443438914027	0.05	0.05116279069767442	0.052083333333333336	0.03208556149732621	0.018779342723004695	0.0038461538461538464	0.011049723756906077	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007142857142857143	0.008771929824561403	0.0	0.007692307692307693	0.0015	0.020833333333333332	0.0375	0.0365296803652968	
Mallard (Domestic type)	0.0	0.005263157894736842	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662100456621	
Mexican Duck	0.017241379310344827	0.015789473684210527	0.004878048780487805	0.004629629629629629	0.0	0.0	0.0	0.0	0.0	0.0	0.009389671361502348	0.0	0.0055248618784530384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015873015873015872	0.0	0.008771929824561403	0.009345794392523364	0.0	0.0	0.0	0.0	0.0136986301369863	
Mallard/Mexican Duck	0.01293103448275862	0.005263157894736842	0.01951219512195122	0.004629629629629629	0.0	0.00904977375565611	0.0	0.009302325581395349	0.005208333333333333	0.0053475935828877	0.004694835680751174	0.007692307692307693	0.0055248618784530384	0.0	0.0	0.0	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0043859649122807015	0.0	0.007692307692307693	0.0	0.010416666666666666	0.0	0.0228310502283105	
Mottled Duck	0.09482758620689655	0.07894736842105263	0.0975609756097561	0.0787037037037037	0.055248618784530384	0.07239819004524888	0.06923076923076923	0.08837209302325581	0.08854166666666667	0.10160427807486631	0.09859154929577464	0.06538461538461539	0.0718232044198895	0.08928571428571429	0.16778523489932887	0.16560509554140126	0.09836065573770492	0.08108108108108109	0.14814814814814814	0.17857142857142858	0.0	0.045454545454545456	0.07407407407407407	0.0967741935483871	0.058823529411764705	0.3157894736842105	0.037037037037037035	0.05405405405405406	0.0	0.0	0.0	0.0	0.0015	0.0	0.037037037037037035	0.027777777777777776	0.07692307692307693	0.10810810810810811	0.0784313725490196	0.06349206349206349	0.07857142857142857	0.09649122807017543	0.06542056074766354	0.13846153846153847	0.08045977011494253	0.09375	0.125	0.0502283105022831	
