









Frequency of observations in the selected location(s).:
Number of taxa: 	414

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	463.0	375.0	422.0	482.0	359.0	404.0	493.0	442.0	431.0	442.0	446.0	501.0	303.0	327.0	296.0	315.0	99.0	50.0	40.0	49.0	54.0	47.0	36.0	50.0	26.0	25.0	34.0	58.0	23.0	21.0	27.0	27.0	76.0	70.0	93.0	139.0	123.0	112.0	122.0	208.0	375.0	529.0	229.0	230.0	184.0	208.0	181.0	404.0	

Black-bellied Whistling-Duck	0.02591792656587473	0.02666666666666667	0.023696682464454975	0.029045643153526972	0.013927576601671309	0.01485148514851485	0.012170385395537525	0.013574660633484163	0.03248259860788863	0.12895927601809956	0.2600896860986547	0.2774451097804391	0.40594059405940597	0.43425076452599387	0.4560810810810811	0.5015873015873016	0.2828282828282828	0.36	0.4	0.4897959183673469	0.2777777777777778	0.5319148936170213	0.4166666666666667	0.42	0.5384615384615384	0.4	0.2647058823529412	0.15517241379310345	0.17391304347826086	0.14285714285714285	0.14814814814814814	0.1111111111111111	0.07894736842105263	0.11428571428571428	0.06451612903225806	0.11510791366906475	0.0975609756097561	0.05357142857142857	0.07377049180327869	0.028846153846153848	0.042666666666666665	0.01890359168241966	0.034934497816593885	0.06086956521739131	0.02717391304347826	0.02403846153846154	0.027624309392265192	0.027227722772277228	
Fulvous Whistling-Duck	0.0021598272138228943	0.0	0.002369668246445498	0.0	0.002785515320334262	0.0015	0.002028397565922921	0.0	0.002320185614849188	0.004524886877828055	0.002242152466367713	0.011976047904191617	0.013201320132013201	0.0	0.0	0.0	0.0	0.0	0.0	0.04081632653061224	0.0015	0.02127659574468085	0.027777777777777776	0.02	0.038461538461538464	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0026666666666666666	0.001890359168241966	0.0	0.004347826086956522	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004366812227074236	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.008639308855291577	0.005333333333333333	0.016587677725118485	0.0	0.002785515320334262	0.009900990099009901	0.014198782961460446	0.00904977375565611	0.002320185614849188	0.0022624434389140274	0.002242152466367713	0.001996007984031936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.019230769230769232	0.018666666666666668	0.022684310018903593	0.0015	0.008695652173913044	0.02717391304347826	0.019230769230769232	0.011049723756906077	0.007425742574257425	
Ross's Goose	0.0021598272138228943	0.0	0.0	0.0	0.0	0.0024752475247524753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010666666666666666	0.0	0.0	0.0	0.0	0.0	0.0015	0.0049504950495049506	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002320185614849188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.07775377969762419	0.04	0.04265402843601896	0.02074688796680498	0.005571030640668524	0.0049504950495049506	0.0	0.0	0.0	0.0022624434389140274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05357142857142857	0.13114754098360656	0.057692307692307696	0.072	0.08695652173913043	0.034934497816593885	0.09130434782608696	0.09239130434782608	0.04326923076923077	0.049723756906077346	0.024752475247524754	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001996007984031936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001890359168241966	0.004366812227074236	0.0	0.005434782608695652	0.0	0.0	0.0024752475247524753	
