









Frequency of observations in the selected location(s).:
Number of taxa: 	308

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	8.0	1.0	9.0	14.0	6.0	7.0	9.0	10.0	60.0	77.0	73.0	102.0	67.0	72.0	66.0	78.0	6.0	4.0	0.0	1.0	0.0	4.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	45.0	43.0	47.0	74.0	58.0	57.0	58.0	87.0	11.0	12.0	3.0	4.0	1.0	6.0	1.0	4.0	

Black-bellied Whistling-Duck	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.23376623376623376	0.4794520547945205	0.5490196078431373	0.6119402985074627	0.6388888888888888	0.7878787878787878	0.717948717948718	0.3333333333333333	0.75	0.0	0.0	0.0	0.75	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.06666666666666667	0.11627906976744186	0.10638297872340426	0.16216216216216217	0.13793103448275862	0.05263157894736842	0.06896551724137931	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.049019607843137254	0.029850746268656716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.012987012987012988	0.0	0.00980392156862745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.022988505747126436	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08771929824561403	0.20689655172413793	0.12643678160919541	0.18181818181818182	0.08333333333333333	0.0015	0.25	1.0	0.0	0.0	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.03896103896103896	0.0958904109589041	0.029411764705882353	0.07462686567164178	0.013888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.017241379310344827	0.017543859649122806	0.017241379310344827	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.016666666666666666	0.0	0.0136986301369863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.125	0.0	0.0	0.0	0.16666666666666666	0.14285714285714285	0.0	0.2	0.11666666666666667	0.12987012987012986	0.1643835616438356	0.3333333333333333	0.23880597014925373	0.1527777777777778	0.16666666666666666	0.14102564102564102	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.02127659574468085	0.02702702702702703	0.017241379310344827	0.03508771929824561	0.08620689655172414	0.09195402298850575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
