









Frequency of observations in the selected location(s).:
Number of taxa: 	308

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	47.0	35.0	38.0	48.0	20.0	26.0	14.0	24.0	31.0	40.0	63.0	116.0	112.0	226.0	259.0	255.0	72.0	38.0	15.0	17.0	12.0	8.0	8.0	9.0	25.0	16.0	17.0	25.0	17.0	12.0	21.0	34.0	14.0	19.0	15.0	24.0	25.0	33.0	28.0	24.0	16.0	18.0	37.0	17.0	13.0	14.0	25.0	33.0	

Black-bellied Whistling-Duck	0.0	0.0	0.02631578947368421	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.031746031746031744	0.05172413793103448	0.044642857142857144	0.07079646017699115	0.09652509652509653	0.09019607843137255	0.027777777777777776	0.02631578947368421	0.06666666666666667	0.058823529411764705	0.16666666666666666	0.0	0.0	0.1111111111111111	0.04	0.0625	0.0	0.04	0.0	0.08333333333333333	0.0	0.058823529411764705	0.0	0.0	0.0	0.0015	0.04	0.030303030303030304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.017857142857142856	0.035398230088495575	0.0	0.011764705882352941	0.027777777777777776	0.02631578947368421	0.13333333333333333	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.11764705882352941	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.02127659574468085	0.02857142857142857	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.08	0.030303030303030304	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	
Greater White-fronted Goose	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004424778761061947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0625	0.05	0.038461538461538464	0.07142857142857142	0.041666666666666664	0.03225806451612903	0.1	0.2857142857142857	0.20689655172413793	0.36607142857142855	0.2168141592920354	0.25868725868725867	0.2901960784313726	0.16666666666666666	0.23684210526315788	0.26666666666666666	0.17647058823529413	0.16666666666666666	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.14285714285714285	0.10526315789473684	0.13333333333333333	0.041666666666666664	0.16	0.15151515151515152	0.07142857142857142	0.0	0.0625	0.1111111111111111	0.0	0.11764705882352941	0.0	0.0	0.08	0.030303030303030304	
