









Frequency of observations in the selected location(s).:
Number of taxa: 	263

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	14.0	10.0	9.0	16.0	4.0	9.0	11.0	11.0	14.0	25.0	23.0	50.0	52.0	106.0	138.0	150.0	55.0	18.0	14.0	10.0	4.0	8.0	1.0	6.0	10.0	3.0	5.0	15.0	10.0	2.0	9.0	7.0	4.0	6.0	6.0	14.0	11.0	9.0	15.0	10.0	7.0	5.0	7.0	9.0	6.0	4.0	3.0	11.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.1	0.09615384615384616	0.09433962264150944	0.12318840579710146	0.08666666666666667	0.10909090909090909	0.2222222222222222	0.0	0.0	0.0	0.0	1.0	0.0	0.1	0.0	0.0	0.13333333333333333	0.0	0.0	0.0	0.0	0.25	0.0	0.16666666666666666	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02830188679245283	0.014492753623188406	0.006666666666666667	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.07142857142857142	0.0	0.0	0.0015	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.006666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.04	0.08695652173913043	0.14	0.38461538461538464	0.3113207547169811	0.36231884057971014	0.38	0.23636363636363636	0.1111111111111111	0.35714285714285715	0.6	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.21428571428571427	0.1	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0015	0.04	0.1346153846153846	0.0660377358490566	0.050724637681159424	0.04	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.3333333333333333	0.0	
Gadwall	0.07142857142857142	0.1	0.0	0.125	0.25	0.2222222222222222	0.09090909090909091	0.09090909090909091	0.14285714285714285	0.0	0.17391304347826086	0.06	0.07692307692307693	0.03773584905660377	0.028985507246376812	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mallard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.04	0.0	0.0	0.0015	0.02830188679245283	0.014492753623188406	0.006666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	
