









Frequency of observations in the selected location(s).:
Number of taxa: 	273

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	18.0	20.0	28.0	29.0	7.0	16.0	34.0	15.0	27.0	14.0	15.0	34.0	27.0	50.0	29.0	19.0	11.0	6.0	7.0	10.0	5.0	5.0	2.0	2.0	3.0	3.0	17.0	28.0	9.0	14.0	7.0	12.0	9.0	23.0	14.0	15.0	12.0	8.0	13.0	24.0	7.0	22.0	19.0	27.0	26.0	14.0	11.0	21.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.07142857142857142	0.13333333333333333	0.08823529411764706	0.2962962962962963	0.32	0.1724137931034483	0.05263157894736842	0.18181818181818182	0.0015	0.2857142857142857	0.2	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.11764705882352941	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.12	0.034482758620689655	0.0	0.09090909090909091	0.0015	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.05555555555555555	0.1	0.03571428571428571	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.07407407407407407	0.0	0.0	0.0	0.0	
Ross's Goose	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.047619047619047616	
Blue-winged Teal	0.1111111111111111	0.05	0.03571428571428571	0.06896551724137931	0.0	0.125	0.08823529411764706	0.26666666666666666	0.25925925925925924	0.35714285714285715	0.2	0.35294117647058826	0.48148148148148145	0.48	0.27586206896551724	0.21052631578947367	0.36363636363636365	0.0015	0.2857142857142857	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.13333333333333333	0.0	0.0	0.15384615384615385	0.041666666666666664	0.14285714285714285	0.0	0.0	0.037037037037037035	0.038461538461538464	0.0	0.09090909090909091	0.047619047619047616	
Northern Shoveler	0.2777777777777778	0.2	0.21428571428571427	0.20689655172413793	0.2857142857142857	0.3125	0.11764705882352941	0.26666666666666666	0.07407407407407407	0.2857142857142857	0.06666666666666667	0.11764705882352941	0.1111111111111111	0.1	0.06896551724137931	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.05263157894736842	0.07407407407407407	0.038461538461538464	0.35714285714285715	0.18181818181818182	0.047619047619047616	
Gadwall	0.1111111111111111	0.2	0.14285714285714285	0.10344827586206896	0.14285714285714285	0.25	0.058823529411764705	0.13333333333333333	0.07407407407407407	0.14285714285714285	0.0	0.029411764705882353	0.07407407407407407	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.037037037037037035	0.038461538461538464	0.21428571428571427	0.2727272727272727	0.047619047619047616	
