









Frequency of observations in the selected location(s).:
Number of taxa: 	342

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	43.0	33.0	35.0	40.0	40.0	47.0	49.0	31.0	33.0	29.0	21.0	48.0	36.0	24.0	39.0	35.0	36.0	16.0	20.0	28.0	37.0	22.0	36.0	38.0	23.0	8.0	16.0	24.0	17.0	24.0	19.0	16.0	17.0	10.0	15.0	12.0	16.0	20.0	27.0	44.0	34.0	36.0	39.0	58.0	29.0	26.0	57.0	40.0	

Black-bellied Whistling-Duck	0.046511627906976744	0.06060606060606061	0.05714285714285714	0.05	0.0	0.0	0.08163265306122448	0.03225806451612903	0.09090909090909091	0.20689655172413793	0.3333333333333333	0.625	0.6666666666666666	0.5833333333333334	0.6666666666666666	0.6	0.75	0.5625	0.55	0.6071428571428571	0.6216216216216216	0.8181818181818182	0.8055555555555556	0.7105263157894737	0.7391304347826086	0.625	0.875	0.8333333333333334	0.6470588235294118	0.5416666666666666	0.5789473684210527	0.5	0.47058823529411764	0.6	0.4	0.25	0.25	0.2	0.14814814814814814	0.09090909090909091	0.11764705882352941	0.08333333333333333	0.07692307692307693	0.05172413793103448	0.0	0.07692307692307693	0.03508771929824561	0.05	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	0.08333333333333333	0.1388888888888889	0.2916666666666667	0.07692307692307693	0.45714285714285713	0.3055555555555556	0.0625	0.2	0.21428571428571427	0.43243243243243246	0.36363636363636365	0.4444444444444444	0.3684210526315789	0.34782608695652173	0.125	0.25	0.25	0.11764705882352941	0.08333333333333333	0.3157894736842105	0.3125	0.11764705882352941	0.0	0.06666666666666667	0.25	0.0	0.0	0.0	0.06818181818181818	0.0	0.027777777777777776	0.02564102564102564	0.017241379310344827	0.0	0.0	0.0	0.0	
Snow Goose	0.37209302325581395	0.5757575757575758	0.37142857142857144	0.325	0.4	0.46808510638297873	0.20408163265306123	0.12903225806451613	0.09090909090909091	0.06896551724137931	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.3055555555555556	0.4358974358974359	0.2413793103448276	0.5517241379310345	0.5769230769230769	0.5614035087719298	0.35	
Ross's Goose	0.09302325581395349	0.09090909090909091	0.05714285714285714	0.075	0.025	0.10638297872340426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1282051282051282	0.017241379310344827	0.06896551724137931	0.0	0.14035087719298245	0.075	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.017543859649122806	0.0	
Greater White-fronted Goose	0.3488372093023256	0.48484848484848486	0.34285714285714286	0.25	0.25	0.2978723404255319	0.2857142857142857	0.0967741935483871	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.13636363636363635	0.0	0.1111111111111111	0.2564102564102564	0.2413793103448276	0.3448275862068966	0.2692307692307692	0.22807017543859648	0.225	
Cackling Goose	0.046511627906976744	0.030303030303030304	0.02857142857142857	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.046511627906976744	0.0	0.0	0.0	0.025	0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.017241379310344827	0.0	0.0	0.0	0.0015	
