









Frequency of observations in the selected location(s).:
Number of taxa: 	435

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	723.0	719.0	815.0	943.0	729.0	694.0	794.0	662.0	503.0	583.0	532.0	799.0	454.0	507.0	544.0	573.0	286.0	203.0	131.0	163.0	81.0	77.0	52.0	77.0	67.0	42.0	50.0	112.0	58.0	77.0	98.0	138.0	118.0	101.0	148.0	190.0	157.0	190.0	160.0	225.0	787.0	951.0	340.0	475.0	267.0	260.0	236.0	655.0	

Black-bellied Whistling-Duck	0.2033195020746888	0.14603616133518776	0.1705521472392638	0.2163308589607635	0.24142661179698216	0.1844380403458213	0.22292191435768263	0.23867069486404835	0.2962226640159046	0.40823327615780447	0.4398496240601504	0.5982478097622027	0.6850220264317181	0.7041420118343196	0.7205882352941176	0.7417102966841187	0.7692307692307693	0.8078817733990148	0.8702290076335878	0.8466257668711656	0.8148148148148148	0.8181818181818182	0.8653846153846154	0.7402597402597403	0.7611940298507462	0.8095238095238095	0.74	0.6160714285714286	0.7241379310344828	0.6753246753246753	0.6326530612244898	0.6884057971014492	0.711864406779661	0.6534653465346535	0.722972972972973	0.7736842105263158	0.643312101910828	0.6578947368421053	0.65625	0.6711111111111111	0.5285895806861499	0.5436382754994742	0.49411764705882355	0.391578947368421	0.4681647940074906	0.4846153846153846	0.3432203389830508	0.3190839694656489	
Fulvous Whistling-Duck	0.09405255878284924	0.03616133518776078	0.05030674846625767	0.05832449628844114	0.05075445816186557	0.037463976945244955	0.03526448362720403	0.028700906344410877	0.07554671968190854	0.10806174957118353	0.09210526315789473	0.2227784730913642	0.31718061674008813	0.23865877712031558	0.31985294117647056	0.30715532286212915	0.19230769230769232	0.04926108374384237	0.07633587786259542	0.07975460122699386	0.024691358024691357	0.19480519480519481	0.07692307692307693	0.1038961038961039	0.1044776119402985	0.16666666666666666	0.06	0.0625	0.10344827586206896	0.19480519480519481	0.1836734693877551	0.16666666666666666	0.15254237288135594	0.15841584158415842	0.12162162162162163	0.07894736842105263	0.06369426751592357	0.10526315789473684	0.125	0.06666666666666667	0.22236340533672172	0.25236593059936907	0.15294117647058825	0.10947368421052632	0.149812734082397	0.19230769230769232	0.11440677966101695	0.11755725190839694	
whistling-duck sp.	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0017152658662092624	0.0	0.0	0.004405286343612335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008928571428571428	0.0	0.0	0.0	0.0	0.0	0.0	0.006756756756756757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.05255878284923928	0.025034770514603615	0.046625766871165646	0.06362672322375397	0.039780521262002745	0.04178674351585014	0.015113350125944584	0.03172205438066465	0.0	0.0137221269296741	0.0	0.0012515644555694619	0.0	0.0	0.001838235294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0063532401524777635	0.03470031545741325	0.008823529411764706	0.04842105263157895	0.04119850187265917	0.038461538461538464	0.03389830508474576	0.05801526717557252	
Ross's Goose	0.013831258644536652	0.0013908205841446453	0.0	0.010604453870625663	0.0054869684499314125	0.007204610951008645	0.0012594458438287153	0.010574018126888218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012706480304955528	0.002103049421661409	0.0	0.002105263157894737	0.0	0.0	0.0	0.0030534351145038168	
Snow/Ross's Goose	0.0013831258644536654	0.0	0.0	0.0	0.0	0.0	0.0	0.0015105740181268882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017452006980802793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.05532503457814661	0.03477051460361613	0.014723926380368098	0.03499469777306469	0.02880658436213992	0.0345821325648415	0.015113350125944584	0.013595166163141994	0.0	0.0	0.0018796992481203006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006369426751592357	0.0	0.0125	0.02666666666666667	0.01905972045743329	0.054679284963196635	0.020588235294117647	0.042105263157894736	0.04868913857677903	0.05384615384615385	0.038135593220338986	0.050381679389312976	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
