









Frequency of observations in the selected location(s).:
Number of taxa: 	420

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	485.0	469.0	546.0	637.0	453.0	468.0	537.0	440.0	343.0	420.0	370.0	478.0	302.0	292.0	314.0	346.0	163.0	109.0	91.0	131.0	71.0	62.0	42.0	60.0	58.0	30.0	37.0	70.0	38.0	59.0	69.0	89.0	75.0	69.0	110.0	145.0	101.0	129.0	103.0	157.0	519.0	646.0	245.0	369.0	192.0	192.0	181.0	452.0	

Black-bellied Whistling-Duck	0.23917525773195877	0.17057569296375266	0.21245421245421245	0.19937205651491366	0.23399558498896247	0.19658119658119658	0.2122905027932961	0.24772727272727274	0.27405247813411077	0.4023809523809524	0.45135135135135135	0.7050209205020921	0.7715231788079471	0.8013698630136986	0.7770700636942676	0.8439306358381503	0.8159509202453987	0.8623853211009175	0.9010989010989011	0.9007633587786259	0.8309859154929577	0.9032258064516129	0.8571428571428571	0.8333333333333334	0.7758620689655172	0.8666666666666667	0.7837837837837838	0.7	0.7631578947368421	0.7627118644067796	0.7536231884057971	0.898876404494382	0.9466666666666667	0.8405797101449275	0.9181818181818182	0.9310344827586207	0.8910891089108911	0.8837209302325582	0.8932038834951457	0.910828025477707	0.6859344894026975	0.6640866873065016	0.6040816326530613	0.4796747967479675	0.578125	0.578125	0.4088397790055249	0.38495575221238937	
Fulvous Whistling-Duck	0.1360824742268041	0.0511727078891258	0.07509157509157509	0.0847723704866562	0.0684326710816777	0.053418803418803416	0.0446927374301676	0.04318181818181818	0.10787172011661808	0.14761904761904762	0.12972972972972974	0.3598326359832636	0.45364238410596025	0.4006849315068493	0.5318471337579618	0.48265895953757226	0.3128834355828221	0.09174311926605505	0.10989010989010989	0.09923664122137404	0.028169014084507043	0.24193548387096775	0.09523809523809523	0.13333333333333333	0.1206896551724138	0.2	0.05405405405405406	0.1	0.15789473684210525	0.23728813559322035	0.2463768115942029	0.24719101123595505	0.24	0.21739130434782608	0.16363636363636364	0.10344827586206896	0.07920792079207921	0.15503875968992248	0.17475728155339806	0.09554140127388536	0.32755298651252407	0.3591331269349845	0.20408163265306123	0.13821138211382114	0.20833333333333334	0.2604166666666667	0.143646408839779	0.168141592920354	
whistling-duck sp.	0.0	0.0	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.006622516556291391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.06804123711340206	0.031982942430703626	0.056776556776556776	0.08320251177394035	0.06181015452538632	0.05128205128205128	0.0223463687150838	0.045454545454545456	0.0	0.01904761904761905	0.0	0.0020920502092050207	0.0	0.0	0.0031847133757961785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007707129094412331	0.047987616099071206	0.00816326530612245	0.05962059620596206	0.057291666666666664	0.052083333333333336	0.04419889502762431	0.07079646017699115	
Ross's Goose	0.020618556701030927	0.0021321961620469083	0.0	0.0141287284144427	0.008830022075055188	0.00641025641025641	0.00186219739292365	0.013636363636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019267822736030828	0.0030959752321981426	0.0	0.0027100271002710027	0.0	0.0	0.0	0.004424778761061947	
Snow/Ross's Goose	0.002061855670103093	0.0	0.0	0.0	0.0	0.0	0.0	0.0022727272727272726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002890173410404624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.07216494845360824	0.042643923240938165	0.018315018315018316	0.04552590266875981	0.04415011037527594	0.042735042735042736	0.0223463687150838	0.01818181818181818	0.0	0.0	0.002702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009900990099009901	0.0	0.019417475728155338	0.03821656050955414	0.025048169556840076	0.07430340557275542	0.02857142857142857	0.05420054200542006	0.06770833333333333	0.07291666666666667	0.049723756906077346	0.07079646017699115	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13793103448275862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
