









Frequency of observations in the selected location(s).:
Number of taxa: 	326

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	46.0	67.0	69.0	50.0	37.0	53.0	53.0	30.0	31.0	41.0	31.0	44.0	21.0	14.0	23.0	21.0	9.0	7.0	2.0	7.0	2.0	4.0	1.0	5.0	1.0	3.0	1.0	3.0	1.0	1.0	0.0	4.0	3.0	3.0	1.0	2.0	4.0	3.0	4.0	11.0	40.0	46.0	18.0	31.0	19.0	11.0	12.0	63.0	

Black-bellied Whistling-Duck	0.021739130434782608	0.029850746268656716	0.028985507246376812	0.04	0.02702702702702703	0.09433962264150944	0.16981132075471697	0.03333333333333333	0.1935483870967742	0.2682926829268293	0.12903225806451613	0.22727272727272727	0.19047619047619047	0.21428571428571427	0.391304347826087	0.19047619047619047	0.3333333333333333	0.42857142857142855	0.5	0.2857142857142857	0.5	0.0	1.0	0.2	0.0	0.6666666666666666	0.0	0.0	1.0	0.0	0.0	0.25	0.6666666666666666	0.3333333333333333	0.0	0.0	0.75	0.0	0.5	0.0	0.25	0.3695652173913043	0.1111111111111111	0.03225806451612903	0.21052631578947367	0.2727272727272727	0.16666666666666666	0.047619047619047616	
Fulvous Whistling-Duck	0.021739130434782608	0.0	0.0	0.0	0.02702702702702703	0.018867924528301886	0.018867924528301886	0.0	0.0	0.024390243902439025	0.0	0.045454545454545456	0.14285714285714285	0.07142857142857142	0.17391304347826086	0.19047619047619047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.5	0.0	0.075	0.17391304347826086	0.0	0.0	0.0	0.0	0.08333333333333333	0.015873015873015872	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.043478260869565216	0.014925373134328358	0.08695652173913043	0.06	0.02702702702702703	0.03773584905660377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.047619047619047616	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.03773584905660377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.043478260869565216	0.04477611940298507	0.028985507246376812	0.02	0.02702702702702703	0.09433962264150944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08695652173913043	0.0	0.0	0.0015	0.0	0.0	0.015873015873015872	
goose sp.	0.0	0.014925373134328358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.014925373134328358	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015873015873015872	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.08695652173913043	0.1044776119402985	0.15942028985507245	0.2	0.16216216216216217	0.1320754716981132	0.18867924528301888	0.13333333333333333	0.0967741935483871	0.14634146341463414	0.06451612903225806	0.1590909090909091	0.14285714285714285	0.14285714285714285	0.2608695652173913	0.14285714285714285	0.1111111111111111	0.14285714285714285	0.0015	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.3333333333333333	0.0	0.0	0.5	0.0	0.25	0.0	0.25	0.2391304347826087	0.1111111111111111	0.0	0.05263157894736842	0.09090909090909091	0.08333333333333333	0.047619047619047616	
Cinnamon Teal	0.021739130434782608	0.08955223880597014	0.15942028985507245	0.16	0.16216216216216217	0.11320754716981132	0.20754716981132076	0.1	0.06451612903225806	0.12195121951219512	0.0	0.11363636363636363	0.047619047619047616	0.0	0.13043478260869565	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.17391304347826086	0.0	0.0	0.0	0.09090909090909091	0.0015	0.031746031746031744	
Blue-winged x Cinnamon Teal (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	
