









Frequency of observations in the selected location(s).:
Number of taxa: 	322

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	166.0	145.0	151.0	217.0	207.0	145.0	155.0	133.0	82.0	75.0	74.0	127.0	82.0	136.0	134.0	129.0	66.0	63.0	24.0	17.0	4.0	6.0	7.0	8.0	3.0	5.0	6.0	25.0	7.0	7.0	17.0	22.0	26.0	16.0	22.0	35.0	45.0	51.0	46.0	48.0	184.0	206.0	60.0	58.0	40.0	40.0	30.0	112.0	

Black-bellied Whistling-Duck	0.16265060240963855	0.14482758620689656	0.12582781456953643	0.31797235023041476	0.32367149758454106	0.2	0.3225806451612903	0.3533834586466165	0.5	0.6133333333333333	0.7027027027027027	0.8031496062992126	0.7804878048780488	0.7058823529411765	0.8208955223880597	0.7596899224806202	0.7121212121212122	0.8095238095238095	0.7916666666666666	0.7647058823529411	0.75	0.8333333333333334	0.8571428571428571	0.625	1.0	1.0	0.8333333333333334	0.56	0.42857142857142855	0.7142857142857143	0.5294117647058824	0.5454545454545454	0.3076923076923077	0.25	0.18181818181818182	0.2857142857142857	0.15555555555555556	0.21568627450980393	0.2391304347826087	0.16666666666666666	0.266304347826087	0.3300970873786408	0.26666666666666666	0.1206896551724138	0.225	0.15	0.06666666666666667	0.2767857142857143	
Fulvous Whistling-Duck	0.0	0.013793103448275862	0.0	0.0	0.01932367149758454	0.006896551724137931	0.012903225806451613	0.0	0.0	0.0	0.013513513513513514	0.023622047244094488	0.024390243902439025	0.014705882352941176	0.007462686567164179	0.007751937984496124	0.015151515151515152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010869565217391304	0.0048543689320388345	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.018072289156626505	0.006896551724137931	0.006622516556291391	0.013824884792626729	0.0	0.013793103448275862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005434782608695652	0.0	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	
Ross's Goose	0.0	0.0	0.0	0.004608294930875576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.012048192771084338	0.013793103448275862	0.0	0.013824884792626729	0.0	0.0	0.0	0.007518796992481203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.006024096385542169	0.0	0.019867549668874173	0.027649769585253458	0.0	0.0	0.0015	0.022556390977443608	0.0	0.0	0.05405405405405406	0.07086614173228346	0.036585365853658534	0.007352941176470588	0.0	0.007751937984496124	0.0	0.015873015873015872	0.0	0.058823529411764705	0.0	0.16666666666666666	0.0	0.125	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.17647058823529413	0.045454545454545456	0.038461538461538464	0.125	0.045454545454545456	0.11428571428571428	0.06666666666666667	0.0	0.0	0.020833333333333332	0.059782608695652176	0.0825242718446602	0.05	0.034482758620689655	0.0015	0.175	0.16666666666666666	0.017857142857142856	
