









Frequency of observations in the selected location(s).:
Number of taxa: 	227

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	14.0	19.0	36.0	17.0	17.0	24.0	36.0	46.0	24.0	26.0	14.0	39.0	17.0	26.0	28.0	36.0	22.0	15.0	11.0	8.0	1.0	5.0	2.0	3.0	4.0	2.0	4.0	8.0	4.0	3.0	7.0	7.0	8.0	4.0	11.0	5.0	5.0	7.0	4.0	7.0	27.0	48.0	11.0	8.0	12.0	8.0	9.0	17.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.11764705882352941	0.0	0.041666666666666664	0.05555555555555555	0.021739130434782608	0.2916666666666667	0.4230769230769231	0.35714285714285715	0.48717948717948717	0.35294117647058826	0.6153846153846154	0.5357142857142857	0.5555555555555556	0.6363636363636364	0.6666666666666666	0.8181818181818182	0.625	1.0	0.4	1.0	0.3333333333333333	0.75	0.0015	0.5	0.5	0.5	0.0	0.14285714285714285	0.2857142857142857	0.125	0.5	0.09090909090909091	0.2	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.125	0.0	0.0	0.0	0.058823529411764705	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.08333333333333333	0.043478260869565216	0.0	0.038461538461538464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mottled Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Plain Chachalaca	0.7857142857142857	0.631578947368421	0.75	0.6470588235294118	0.8235294117647058	0.8333333333333334	0.9166666666666666	0.9130434782608695	0.7916666666666666	0.6538461538461539	0.5	0.7692307692307693	0.7058823529411765	0.8461538461538461	0.8928571428571429	0.5555555555555556	0.8181818181818182	0.8666666666666667	1.0	0.75	1.0	0.6	1.0	0.6666666666666666	0.75	1.0	0.5	0.75	1.0	1.0	1.0	0.5714285714285714	1.0	1.0	0.9090909090909091	0.6	0.8	0.8571428571428571	0.5	0.8571428571428571	0.7777777777777778	0.8125	0.8181818181818182	0.625	0.8333333333333334	0.5	0.7777777777777778	0.7647058823529411	
Least Grebe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
