









Frequency of observations in the selected location(s).:
Number of taxa: 	391

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	54.0	24.0	55.0	74.0	36.0	51.0	44.0	42.0	57.0	93.0	229.0	448.0	418.0	677.0	570.0	687.0	292.0	107.0	41.0	22.0	11.0	6.0	2.0	8.0	5.0	1.0	4.0	9.0	14.0	9.0	31.0	71.0	61.0	66.0	80.0	131.0	66.0	58.0	95.0	76.0	43.0	35.0	33.0	28.0	27.0	18.0	22.0	43.0	

Black-bellied Whistling-Duck	0.037037037037037035	0.0	0.01818181818181818	0.04054054054054054	0.027777777777777776	0.09803921568627451	0.22727272727272727	0.47619047619047616	0.543859649122807	0.4946236559139785	0.62882096069869	0.6941964285714286	0.7129186602870813	0.7090103397341211	0.6	0.6783114992721979	0.6541095890410958	0.7009345794392523	0.6585365853658537	0.8181818181818182	0.9090909090909091	0.5	1.0	0.75	0.4	0.0	0.75	0.5555555555555556	0.6428571428571429	0.4444444444444444	0.4838709677419355	0.5352112676056338	0.5245901639344263	0.5151515151515151	0.575	0.4122137404580153	0.3484848484848485	0.2413793103448276	0.15789473684210525	0.17105263157894737	0.3023255813953488	0.2	0.21212121212121213	0.0	0.07407407407407407	0.1111111111111111	0.13636363636363635	0.06976744186046512	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.008733624454148471	0.004464285714285714	0.007177033492822967	0.01772525849335303	0.06315789473684211	0.09170305676855896	0.03767123287671233	0.018691588785046728	0.04878048780487805	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.015151515151515152	0.0125	0.015267175572519083	0.0	0.0	0.0	0.0	0.06976744186046512	0.02857142857142857	0.0	0.03571428571428571	0.037037037037037035	0.05555555555555555	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.08571428571428572	0.0	0.03571428571428571	0.037037037037037035	0.0	0.045454545454545456	0.0	
Ross's Goose	0.0	0.0	0.0	0.0015	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.037037037037037035	0.0	0.045454545454545456	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005263157894736842	0.002911208151382824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling Goose	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004366812227074236	0.002232142857142857	0.004784688995215311	0.0014771048744460858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	
