









Frequency of observations in the selected location(s).:
Number of taxa: 	366

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	39.0	33.0	55.0	75.0	29.0	31.0	36.0	21.0	29.0	41.0	68.0	97.0	77.0	104.0	71.0	111.0	30.0	18.0	5.0	14.0	17.0	11.0	7.0	7.0	4.0	9.0	17.0	9.0	8.0	5.0	5.0	17.0	6.0	12.0	19.0	28.0	20.0	26.0	30.0	28.0	20.0	26.0	29.0	30.0	32.0	25.0	19.0	41.0	

Black-bellied Whistling-Duck	0.02564102564102564	0.0	0.0	0.013333333333333334	0.0	0.03225806451612903	0.19444444444444445	0.047619047619047616	0.27586206896551724	0.43902439024390244	0.4852941176470588	0.6185567010309279	0.44155844155844154	0.5	0.5070422535211268	0.5045045045045045	0.6	0.5555555555555556	0.8	0.5714285714285714	0.5882352941176471	0.5454545454545454	0.2857142857142857	0.5714285714285714	0.5	0.4444444444444444	0.47058823529411764	0.4444444444444444	0.5	0.4	0.0	0.29411764705882354	0.0015	0.08333333333333333	0.15789473684210525	0.14285714285714285	0.2	0.23076923076923078	0.23333333333333334	0.03571428571428571	0.05	0.15384615384615385	0.10344827586206896	0.0	0.0625	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.027777777777777776	0.0	0.0	0.0	0.0	0.0	0.012987012987012988	0.038461538461538464	0.028169014084507043	0.06306306306306306	0.06666666666666667	0.0	0.2	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.03333333333333333	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0015	0.0	0.05333333333333334	0.0	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.19230769230769232	0.06896551724137931	0.06666666666666667	0.0625	0.12	0.0	0.07317073170731707	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0015	0.03125	0.04	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010309278350515464	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0015	0.0	0.0	0.0	0.04	0.0	0.0	
Canada Goose	0.0	0.0015	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020618556701030927	0.012987012987012988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	
goose sp.	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.15384615384615385	0.15151515151515152	0.16363636363636364	0.09333333333333334	0.13793103448275862	0.0967741935483871	0.3055555555555556	0.14285714285714285	0.20689655172413793	0.36585365853658536	0.35294117647058826	0.422680412371134	0.35064935064935066	0.5	0.36619718309859156	0.35135135135135137	0.4	0.3333333333333333	0.6	0.21428571428571427	0.058823529411764705	0.18181818181818182	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.16666666666666666	0.08333333333333333	0.05263157894736842	0.07142857142857142	0.4	0.15384615384615385	0.2	0.07142857142857142	0.05	0.11538461538461539	0.06896551724137931	0.06666666666666667	0.03125	0.12	0.05263157894736842	0.024390243902439025	
Blue-winged x Cinnamon Teal (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.3076923076923077	0.3333333333333333	0.3090909090909091	0.18666666666666668	0.2413793103448276	0.16129032258064516	0.19444444444444445	0.19047619047619047	0.3103448275862069	0.24390243902439024	0.27941176470588236	0.14432989690721648	0.12987012987012986	0.1346153846153846	0.07042253521126761	0.05405405405405406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.0	0.0015	0.038461538461538464	0.3103448275862069	0.23333333333333334	0.15625	0.4	0.3157894736842105	0.1951219512195122	
Gadwall	0.20512820512820512	0.18181818181818182	0.18181818181818182	0.22666666666666666	0.3103448275862069	0.1935483870967742	0.16666666666666666	0.19047619047619047	0.13793103448275862	0.1951219512195122	0.19117647058823528	0.14432989690721648	0.025974025974025976	0.057692307692307696	0.04225352112676056	0.04504504504504504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.14285714285714285	0.25	0.34615384615384615	0.2413793103448276	0.06666666666666667	0.28125	0.24	0.21052631578947367	0.21951219512195122	
American Wigeon	0.05128205128205128	0.09090909090909091	0.05454545454545454	0.05333333333333334	0.10344827586206896	0.06451612903225806	0.027777777777777776	0.0	0.0	0.04878048780487805	0.014705882352941176	0.041237113402061855	0.0015	0.019230769230769232	0.0	0.009009009009009009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.1	0.2692307692307692	0.034482758620689655	0.03333333333333333	0.03125	0.08	0.10526315789473684	0.07317073170731707	
Mallard	0.05128205128205128	0.0	0.03636363636363636	0.013333333333333334	0.10344827586206896	0.0	0.027777777777777776	0.047619047619047616	0.034482758620689655	0.024390243902439025	0.0	0.020618556701030927	0.012987012987012988	0.009615384615384616	0.0	0.009009009009009009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.03571428571428571	0.0	0.0	0.0	0.0	0.05	0.11538461538461539	0.10344827586206896	0.03333333333333333	0.0625	0.0	0.05263157894736842	0.07317073170731707	
Mallard (Domestic type)	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mottled Duck	0.358974358974359	0.2727272727272727	0.10909090909090909	0.32	0.3103448275862069	0.3225806451612903	0.3888888888888889	0.14285714285714285	0.4482758620689655	0.3902439024390244	0.4264705882352941	0.38144329896907214	0.24675324675324675	0.2692307692307692	0.323943661971831	0.27927927927927926	0.5333333333333333	0.2777777777777778	0.4	0.2857142857142857	0.23529411764705882	0.2727272727272727	0.14285714285714285	0.42857142857142855	0.25	0.1111111111111111	0.058823529411764705	0.2222222222222222	0.125	0.4	0.2	0.23529411764705882	0.16666666666666666	0.4166666666666667	0.3157894736842105	0.21428571428571427	0.3	0.15384615384615385	0.23333333333333334	0.2857142857142857	0.25	0.19230769230769232	0.27586206896551724	0.2	0.28125	0.44	0.15789473684210525	0.24390243902439024	
Northern Pintail	0.05128205128205128	0.030303030303030304	0.07272727272727272	0.04	0.0	0.12903225806451613	0.027777777777777776	0.0	0.0	0.0	0.014705882352941176	0.0	0.0	0.0	0.0	0.009009009009009009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06896551724137931	0.0015	0.0625	0.0	0.05263157894736842	0.04878048780487805	
