









Frequency of observations in the selected location(s).:
Number of taxa: 	313

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	55.0	31.0	48.0	58.0	37.0	34.0	27.0	32.0	32.0	37.0	49.0	119.0	78.0	147.0	84.0	80.0	37.0	21.0	15.0	14.0	11.0	5.0	5.0	6.0	7.0	6.0	6.0	11.0	14.0	4.0	4.0	9.0	11.0	14.0	10.0	16.0	15.0	11.0	14.0	18.0	15.0	22.0	14.0	34.0	19.0	22.0	22.0	41.0	

Black-bellied Whistling-Duck	0.0	0.03225806451612903	0.0	0.0	0.02702702702702703	0.029411764705882353	0.0015	0.21875	0.15625	0.4864864864864865	0.4897959183673469	0.6218487394957983	0.3333333333333333	0.4557823129251701	0.44047619047619047	0.35	0.43243243243243246	0.5238095238095238	0.3333333333333333	0.42857142857142855	0.45454545454545453	0.2	0.4	0.6666666666666666	0.8571428571428571	1.0	0.5	0.2727272727272727	0.5714285714285714	0.25	0.5	0.1111111111111111	0.0	0.2857142857142857	0.1	0.125	0.0	0.18181818181818182	0.07142857142857142	0.1111111111111111	0.06666666666666667	0.09090909090909091	0.2857142857142857	0.0	0.0	0.045454545454545456	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04081632653061224	0.008403361344537815	0.01282051282051282	0.034013605442176874	0.23809523809523808	0.2375	0.21621621621621623	0.23809523809523808	0.26666666666666666	0.14285714285714285	0.18181818181818182	0.0	0.2	0.5	0.0	0.5	0.0	0.18181818181818182	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.09090909090909091	0.03225806451612903	0.020833333333333332	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.02702702702702703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.058823529411764705	0.0	0.09090909090909091	0.045454545454545456	0.024390243902439025	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	
Cackling Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.35135135135135137	0.1836734693877551	0.2605042016806723	0.0641025641025641	0.02040816326530612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
