









Frequency of observations in the selected location(s).:
Number of taxa: 	422

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	268.0	225.0	170.0	297.0	229.0	286.0	428.0	371.0	284.0	303.0	289.0	399.0	201.0	220.0	258.0	214.0	107.0	37.0	16.0	9.0	1.0	0.0	9.0	9.0	2.0	4.0	4.0	5.0	2.0	5.0	4.0	16.0	12.0	15.0	32.0	7.0	6.0	11.0	18.0	32.0	47.0	71.0	92.0	99.0	87.0	85.0	78.0	239.0	

Black-bellied Whistling-Duck	0.31343283582089554	0.36	0.20588235294117646	0.24579124579124578	0.25327510917030566	0.25874125874125875	0.27102803738317754	0.29110512129380056	0.29225352112676056	0.4158415841584158	0.4463667820069204	0.42355889724310775	0.5572139303482587	0.5272727272727272	0.5232558139534884	0.6495327102803738	0.5046728971962616	0.43243243243243246	0.5	0.4444444444444444	1.0	0.0	0.1111111111111111	0.4444444444444444	0.5	0.0	0.25	0.2	0.0	0.2	0.5	0.3125	0.0	0.3333333333333333	0.125	0.2857142857142857	0.3333333333333333	0.09090909090909091	0.1111111111111111	0.15625	0.2553191489361702	0.15492957746478872	0.2717391304347826	0.3939393939393939	0.367816091954023	0.35294117647058826	0.34615384615384615	0.2928870292887029	
Fulvous Whistling-Duck	0.0037313432835820895	0.0044444444444444444	0.0	0.016835016835016835	0.017467248908296942	0.0034965034965034965	0.018691588785046728	0.005390835579514825	0.007042253521126761	0.009900990099009901	0.006920415224913495	0.007518796992481203	0.024875621890547265	0.004545454545454545	0.015503875968992248	0.028037383177570093	0.037383177570093455	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.011764705882352941	0.01282051282051282	0.008368200836820083	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	
Snow Goose	0.014925373134328358	0.02666666666666667	0.0058823529411764705	0.0	0.013100436681222707	0.006993006993006993	0.002336448598130841	0.018867924528301886	0.0	0.006600660066006601	0.0034602076124567475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.1267605633802817	0.03260869565217391	0.020202020202020204	0.04597701149425287	0.1411764705882353	0.02564102564102564	0.012552301255230125	
Ross's Goose	0.0037313432835820895	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.07042253521126761	0.0	0.0	0.0	0.023529411764705882	0.0	0.0	
Greater White-fronted Goose	0.0037313432835820895	0.0	0.0	0.0	0.0	0.0	0.0	0.0026954177897574125	0.0035211267605633804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.028169014084507043	0.021739130434782608	0.020202020202020204	0.0	0.023529411764705882	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004545454545454545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.0037313432835820895	0.0	0.0	0.003367003367003367	0.0015	0.0034965034965034965	0.002336448598130841	0.0026954177897574125	0.0	0.0	0.0034602076124567475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0034965034965034965	0.0	0.0	0.0035211267605633804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
