









Frequency of observations in the selected location(s).:
Number of taxa: 	401

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	90.0	98.0	81.0	133.0	108.0	126.0	177.0	123.0	130.0	160.0	149.0	230.0	138.0	149.0	171.0	149.0	69.0	17.0	10.0	6.0	1.0	0.0	7.0	6.0	1.0	3.0	3.0	2.0	2.0	3.0	2.0	10.0	8.0	9.0	20.0	6.0	4.0	7.0	15.0	15.0	27.0	27.0	33.0	44.0	47.0	41.0	44.0	100.0	

Black-bellied Whistling-Duck	0.18888888888888888	0.24489795918367346	0.20987654320987653	0.17293233082706766	0.19444444444444445	0.21428571428571427	0.24858757062146894	0.2845528455284553	0.25384615384615383	0.36875	0.40939597315436244	0.41739130434782606	0.5869565217391305	0.5973154362416108	0.5555555555555556	0.7449664429530202	0.4782608695652174	0.4117647058823529	0.6	0.5	1.0	0.0	0.14285714285714285	0.3333333333333333	1.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.3	0.0	0.3333333333333333	0.1	0.16666666666666666	0.25	0.0	0.13333333333333333	0.06666666666666667	0.25925925925925924	0.14814814814814814	0.24242424242424243	0.3409090909090909	0.3404255319148936	0.3170731707317073	0.36363636363636365	0.24	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.007518796992481203	0.018518518518518517	0.0	0.01694915254237288	0.0	0.007692307692307693	0.0	0.013422818791946308	0.008695652173913044	0.014492753623188406	0.0015	0.005847953216374269	0.03355704697986577	0.057971014492753624	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	
Snow Goose	0.022222222222222223	0.02040816326530612	0.0	0.0	0.009259259259259259	0.0	0.005649717514124294	0.016260162601626018	0.0	0.00625	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07407407407407407	0.0015	0.0	0.0	0.12195121951219512	0.0	0.0015	
Ross's Goose	0.011111111111111112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.0	
Greater White-fronted Goose	0.011111111111111112	0.0	0.0	0.0	0.0	0.0	0.0	0.008130081300813009	0.007692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.030303030303030304	0.022727272727272728	0.0	0.0	0.0	0.0	
Canada Goose	0.011111111111111112	0.0	0.0	0.007518796992481203	0.0015	0.007936507936507936	0.0	0.0	0.0	0.0	0.006711409395973154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.005649717514124294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
