









Frequency of observations in the selected location(s).:
Number of taxa: 	313

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	80.0	48.0	33.0	69.0	45.0	57.0	73.0	83.0	46.0	48.0	50.0	52.0	22.0	16.0	8.0	9.0	8.0	5.0	2.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	0.0	4.0	0.0	0.0	3.0	0.0	8.0	7.0	10.0	22.0	28.0	19.0	24.0	17.0	55.0	

Black-bellied Whistling-Duck	0.65	0.75	0.42424242424242425	0.5217391304347826	0.6	0.5614035087719298	0.6301369863013698	0.6265060240963856	0.6086956521739131	0.75	0.8	0.8461538461538461	0.8181818181818182	0.9375	0.75	0.5555555555555556	0.375	0.2	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.375	0.2857142857142857	0.6	0.4090909090909091	0.6428571428571429	0.7368421052631579	0.6666666666666666	0.47058823529411764	0.6545454545454545	
Fulvous Whistling-Duck	0.0125	0.020833333333333332	0.0	0.043478260869565216	0.044444444444444446	0.017543859649122806	0.0684931506849315	0.0	0.021739130434782608	0.020833333333333332	0.0	0.0	0.18181818181818182	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.041666666666666664	0.0	0.03636363636363636	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.025	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.024096385542168676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.041666666666666664	0.11764705882352941	0.0	
Ross's Goose	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	
Blue-winged Teal	0.275	0.16666666666666666	0.09090909090909091	0.057971014492753624	0.26666666666666666	0.2982456140350877	0.3013698630136986	0.3373493975903614	0.2826086956521739	0.3541666666666667	0.32	0.5	0.36363636363636365	0.25	0.25	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.25	0.0	0.1	0.045454545454545456	0.10714285714285714	0.0015	0.16666666666666666	0.17647058823529413	0.2545454545454545	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.044444444444444446	0.07017543859649122	0.0	0.0	0.043478260869565216	0.020833333333333332	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
