









Frequency of observations in the selected location(s).:
Number of taxa: 	418

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	78.0	57.0	76.0	63.0	48.0	52.0	89.0	65.0	60.0	52.0	93.0	115.0	86.0	109.0	135.0	226.0	80.0	44.0	33.0	14.0	13.0	14.0	12.0	26.0	11.0	14.0	20.0	19.0	44.0	40.0	89.0	156.0	73.0	77.0	114.0	337.0	87.0	74.0	60.0	75.0	55.0	62.0	43.0	49.0	33.0	35.0	37.0	89.0	

Black-bellied Whistling-Duck	0.05128205128205128	0.07017543859649122	0.039473684210526314	0.0	0.0625	0.1346153846153846	0.10112359550561797	0.15384615384615385	0.1	0.2692307692307692	0.3870967741935484	0.33043478260869563	0.2558139534883721	0.43119266055045874	0.4740740740740741	0.40707964601769914	0.275	0.20454545454545456	0.30303030303030304	0.14285714285714285	0.15384615384615385	0.2857142857142857	0.4166666666666667	0.38461538461538464	0.2727272727272727	0.5	0.15	0.10526315789473684	0.20454545454545456	0.1	0.15730337078651685	0.20512820512820512	0.2465753424657534	0.22077922077922077	0.09649122807017543	0.08011869436201781	0.022988505747126436	0.04054054054054054	0.03333333333333333	0.09333333333333334	0.14545454545454545	0.1774193548387097	0.16279069767441862	0.02040816326530612	0.0	0.02857142857142857	0.05405405405405406	0.0898876404494382	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.015873015873015872	0.0	0.0	0.0	0.015384615384615385	0.0	0.0	0.0	0.008695652173913044	0.023255813953488372	0.0	0.014814814814814815	0.022123893805309734	0.05	0.022727272727272728	0.12121212121212122	0.21428571428571427	0.07692307692307693	0.07142857142857142	0.08333333333333333	0.15384615384615385	0.0015	0.14285714285714285	0.05	0.0015	0.022727272727272728	0.025	0.0	0.00641025641025641	0.0136986301369863	0.03896103896103896	0.017543859649122806	0.017804154302670624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.0	0.0	0.0	0.0	0.002967359050445104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.05128205128205128	0.0	0.06578947368421052	0.0	0.020833333333333332	0.019230769230769232	0.011235955056179775	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03333333333333333	0.06666666666666667	0.01818181818181818	0.22580645161290322	0.13953488372093023	0.0	0.09090909090909091	0.11428571428571428	0.2972972972972973	0.0449438202247191	
Ross's Goose	0.02564102564102564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.03225806451612903	0.06976744186046512	0.0	0.0	0.02857142857142857	0.05405405405405406	0.0	
Snow/Ross's Goose	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02702702702702703	0.0	
Greater White-fronted Goose	0.07692307692307693	0.0	0.02631578947368421	0.015873015873015872	0.041666666666666664	0.0	0.0	0.015384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05405405405405406	0.13333333333333333	0.09333333333333334	0.07272727272727272	0.24193548387096775	0.09302325581395349	0.04081632653061224	0.06060606060606061	0.05714285714285714	0.2702702702702703	0.033707865168539325	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.009174311926605505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.00641025641025641	0.0	0.0	0.0	0.002967359050445104	0.0	0.0	0.0	0.02666666666666667	0.07272727272727272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03636363636363636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Egyptian Goose	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06818181818181818	0.0	0.02247191011235955	0.00641025641025641	0.0	0.012987012987012988	0.008771929824561403	0.01483679525222552	0.0	0.0	0.0	0.0	0.12727272727272726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009174311926605505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.013333333333333334	0.01818181818181818	0.06451612903225806	0.06976744186046512	0.02040816326530612	0.0	0.0	0.05405405405405406	0.0	
Blue-winged Teal	0.34615384615384615	0.3684210526315789	0.40789473684210525	0.3968253968253968	0.375	0.5192307692307693	0.5617977528089888	0.6615384615384615	0.6166666666666667	0.6730769230769231	0.5698924731182796	0.6173913043478261	0.5581395348837209	0.6238532110091743	0.6222222222222222	0.49557522123893805	0.3375	0.3181818181818182	0.2727272727272727	0.14285714285714285	0.0	0.0	0.08333333333333333	0.0	0.0	0.07142857142857142	0.0	0.0	0.0015	0.0	0.033707865168539325	0.07692307692307693	0.1917808219178082	0.24675324675324675	0.2982456140350877	0.32047477744807124	0.3103448275862069	0.43243243243243246	0.3333333333333333	0.49333333333333335	0.5818181818181818	0.5967741935483871	0.3953488372093023	0.30612244897959184	0.5151515151515151	0.45714285714285713	0.3783783783783784	0.39325842696629215	
