









Frequency of observations in the selected location(s).:
Number of taxa: 	367

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6.0	12.0	8.0	11.0	14.0	9.0	20.0	11.0	17.0	32.0	62.0	168.0	254.0	617.0	989.0	1224.0	288.0	90.0	32.0	21.0	8.0	6.0	5.0	6.0	2.0	3.0	3.0	4.0	5.0	4.0	5.0	20.0	8.0	6.0	9.0	22.0	15.0	15.0	13.0	12.0	3.0	4.0	2.0	6.0	8.0	16.0	16.0	23.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.016129032258064516	0.05952380952380952	0.07086614173228346	0.0940032414910859	0.07987866531850354	0.09640522875816994	0.08680555555555555	0.1	0.0625	0.09523809523809523	0.125	0.0	0.2	0.0	0.5	0.0	0.0	0.0	0.0	0.5	0.0	0.1	0.125	0.3333333333333333	0.0	0.045454545454545456	0.0	0.0	0.07692307692307693	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.004862236628849271	0.005055611729019211	0.00980392156862745	0.006944444444444444	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.5	0.08333333333333333	0.0	0.0	0.21428571428571427	0.1111111111111111	0.1	0.2727272727272727	0.058823529411764705	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.25	0.0	0.0	0.0	0.1875	0.375	0.21739130434782608	
Ross's Goose	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.1875	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016207455429497568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.25	0.0	0.0	0.0	0.0	0.1875	0.043478260869565216	
Wood Duck	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.003937007874015748	0.0	0.0010111223458038423	0.0024509803921568627	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	
Blue-winged Teal	0.16666666666666666	0.08333333333333333	0.75	0.45454545454545453	0.5714285714285714	0.3333333333333333	0.45	0.45454545454545453	0.7058823529411765	0.40625	0.25806451612903225	0.35714285714285715	0.2992125984251969	0.25121555915721233	0.18503538928210314	0.09967320261437909	0.0798611111111111	0.022222222222222223	0.0	0.09523809523809523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.07692307692307693	0.0	0.0	0.0	0.5	0.5	0.125	0.1875	0.375	0.21739130434782608	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.03125	0.0	0.0	0.003937007874015748	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
