









Frequency of observations in the selected location(s).:
Number of taxa: 	322

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	2.0	2.0	0.0	1.0	1.0	1.0	11.0	7.0	1.0	13.0	27.0	61.0	70.0	37.0	48.0	58.0	21.0	15.0	7.0	4.0	11.0	1.0	3.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	2.0	5.0	0.0	0.0	5.0	2.0	71.0	76.0	5.0	0.0	0.0	0.0	2.0	0.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0015	0.09090909090909091	0.0	0.0	0.0	0.07407407407407407	0.2459016393442623	0.32857142857142857	0.43243243243243246	0.6458333333333334	0.5689655172413793	0.5238095238095238	0.3333333333333333	0.42857142857142855	1.0	0.7272727272727273	0.0	0.6666666666666666	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5	0.23943661971830985	0.07894736842105263	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.014285714285714285	0.05405405405405406	0.0	0.05172413793103448	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.014084507042253521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08450704225352113	0.5	0.0	0.0	0.0	0.0	0.0	0.0	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16901408450704225	0.21052631578947367	0.2	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.46153846153846156	0.18518518518518517	0.19672131147540983	0.3142857142857143	0.40540540540540543	0.4375	0.4482758620689655	0.09523809523809523	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.2	0.5	0.36619718309859156	0.11842105263157894	0.6	0.0	0.0	0.0	0.0	0.0	
Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028169014084507043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.07692307692307693	0.18518518518518517	0.13114754098360656	0.18571428571428572	0.1891891891891892	0.375	0.15517241379310345	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.5	0.15492957746478872	0.18421052631578946	0.0	0.0	0.0	0.0	0.0	0.0	
