









Frequency of observations in the selected location(s).:
Number of taxa: 	409

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	184.0	196.0	209.0	246.0	200.0	226.0	265.0	240.0	188.0	256.0	192.0	234.0	131.0	207.0	183.0	170.0	52.0	33.0	30.0	36.0	44.0	45.0	46.0	38.0	20.0	19.0	21.0	30.0	14.0	16.0	12.0	27.0	16.0	23.0	28.0	27.0	35.0	35.0	54.0	63.0	275.0	288.0	85.0	94.0	82.0	93.0	92.0	218.0	

Black-bellied Whistling-Duck	0.05434782608695652	0.00510204081632653	0.009569377990430622	0.02032520325203252	0.02	0.01327433628318584	0.01509433962264151	0.020833333333333332	0.026595744680851064	0.07421875	0.13020833333333334	0.1752136752136752	0.20610687022900764	0.1497584541062802	0.26229508196721313	0.27647058823529413	0.2692307692307692	0.18181818181818182	0.16666666666666666	0.2222222222222222	0.3409090909090909	0.4444444444444444	0.4782608695652174	0.2894736842105263	0.25	0.3157894736842105	0.23809523809523808	0.16666666666666666	0.14285714285714285	0.3125	0.25	0.037037037037037035	0.25	0.2608695652173913	0.07142857142857142	0.1111111111111111	0.08571428571428572	0.0	0.0	0.031746031746031744	0.025454545454545455	0.03819444444444445	0.011764705882352941	0.02127659574468085	0.012195121951219513	0.053763440860215055	0.03260869565217391	0.05045871559633028	
Fulvous Whistling-Duck	0.0	0.0	0.014354066985645933	0.02032520325203252	0.0	0.0	0.0	0.0	0.0	0.01953125	0.010416666666666666	0.004273504273504274	0.022900763358778626	0.057971014492753624	0.0546448087431694	0.1	0.11538461538461539	0.030303030303030304	0.06666666666666667	0.08333333333333333	0.022727272727272728	0.0	0.021739130434782608	0.0	0.05	0.0015	0.0	0.0	0.0	0.1875	0.0	0.07407407407407407	0.125	0.043478260869565216	0.0	0.0	0.05714285714285714	0.0	0.0	0.015873015873015872	0.0	0.006944444444444444	0.011764705882352941	0.010638297872340425	0.0	0.021505376344086023	0.0	0.0045871559633027525	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02857142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.10869565217391304	0.1377551020408163	0.11483253588516747	0.12195121951219512	0.05	0.084070796460177	0.06415094339622641	0.09166666666666666	0.031914893617021274	0.05078125	0.0	0.01282051282051282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.05818181818181818	0.28125	0.10588235294117647	0.13829787234042554	0.17073170731707318	0.21505376344086022	0.25	0.16055045871559634	
Ross's Goose	0.0	0.015306122448979591	0.014354066985645933	0.012195121951219513	0.0	0.008849557522123894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036363636363636364	0.06944444444444445	0.0	0.031914893617021274	0.0	0.0	0.021739130434782608	0.027522935779816515	
Snow x Ross's Goose (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.010752688172043012	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.010869565217391304	0.0045871559633027525	
Greater White-fronted Goose	0.010869565217391304	0.00510204081632653	0.019138755980861243	0.032520325203252036	0.015	0.01327433628318584	0.022641509433962263	0.016666666666666666	0.0	0.0078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031746031746031744	0.05818181818181818	0.1423611111111111	0.03529411764705882	0.06382978723404255	0.04878048780487805	0.043010752688172046	0.03260869565217391	0.045871559633027525	
Domestic goose sp. (Domestic type)	0.005434782608695652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011764705882352941	0.0	0.0	0.0	0.0	0.0	
