









Frequency of observations in the selected location(s).:
Number of taxa: 	234

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	29.0	7.0	21.0	4.0	8.0	13.0	18.0	5.0	4.0	7.0	17.0	18.0	15.0	11.0	12.0	12.0	5.0	15.0	9.0	6.0	4.0	5.0	8.0	16.0	6.0	3.0	2.0	7.0	5.0	4.0	6.0	3.0	1.0	4.0	4.0	3.0	4.0	4.0	10.0	11.0	7.0	2.0	2.0	4.0	6.0	11.0	24.0	26.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17647058823529413	0.16666666666666666	0.13333333333333333	0.18181818181818182	0.08333333333333333	0.0	0.0	0.13333333333333333	0.2222222222222222	0.0	0.25	0.2	0.125	0.1875	0.3333333333333333	0.0	0.5	0.0015	0.0	0.0	0.5	0.0	1.0	0.5	0.0	0.0	0.0	0.25	0.0	0.09090909090909091	0.14285714285714285	0.0	0.0	0.0	0.16666666666666666	0.09090909090909091	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.07692307692307693	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	
Wood Duck	0.034482758620689655	0.0	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	
Blue-winged Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.05555555555555555	0.0	0.09090909090909091	0.16666666666666666	0.16666666666666666	0.0	0.13333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.038461538461538464	
Northern Shoveler	0.0	0.0	0.09523809523809523	0.25	0.0	0.0	0.0	0.2	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	
Gadwall	0.034482758620689655	0.14285714285714285	0.19047619047619047	0.25	0.0	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.125	0.07692307692307693	
American Wigeon	0.0	0.0	0.0	0.0	0.25	0.15384615384615385	0.0	0.0	0.0	0.0	0.11764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	
Mallard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	
Green-winged Teal	0.0	0.0	0.0	0.5	0.0	0.07692307692307693	0.05555555555555555	0.0	0.0	0.14285714285714285	0.058823529411764705	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.125	0.0	
Redhead	0.0	0.14285714285714285	0.047619047619047616	0.0	0.25	0.15384615384615385	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.125	0.0	
Ring-necked Duck	0.0	0.14285714285714285	0.0	0.0	0.0	0.15384615384615385	0.16666666666666666	0.2	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
duck sp.	0.034482758620689655	0.0	0.047619047619047616	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.08333333333333333	0.07692307692307693	
Northern Bobwhite	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wild Turkey	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11764705882352941	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.2222222222222222	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Least Grebe	0.10344827586206896	0.2857142857142857	0.19047619047619047	0.25	0.25	0.15384615384615385	0.2222222222222222	0.2	0.25	0.2857142857142857	0.23529411764705882	0.2222222222222222	0.13333333333333333	0.45454545454545453	0.5	0.08333333333333333	0.0	0.26666666666666666	0.1111111111111111	0.3333333333333333	0.0	0.6	0.0	0.375	0.3333333333333333	0.0	0.0	0.42857142857142855	0.4	0.25	0.0	0.3333333333333333	1.0	0.25	0.25	0.6666666666666666	0.0	0.0	0.2	0.2727272727272727	0.14285714285714285	0.0	0.0	0.5	0.5	0.2727272727272727	0.25	0.19230769230769232	
Pied-billed Grebe	0.0	0.14285714285714285	0.047619047619047616	0.0	0.25	0.07692307692307693	0.3333333333333333	0.2	0.0	0.2857142857142857	0.11764705882352941	0.2222222222222222	0.06666666666666667	0.18181818181818182	0.08333333333333333	0.0	0.0	0.13333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.25	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.25	0.16666666666666666	0.09090909090909091	0.16666666666666666	0.038461538461538464	
Eared Grebe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
