









Frequency of observations in the selected location(s).:
Number of taxa: 	372

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	104.0	111.0	103.0	107.0	62.0	83.0	89.0	85.0	64.0	88.0	79.0	109.0	66.0	97.0	113.0	152.0	66.0	86.0	66.0	74.0	53.0	60.0	51.0	76.0	54.0	74.0	80.0	116.0	79.0	76.0	77.0	94.0	61.0	94.0	67.0	61.0	70.0	65.0	57.0	82.0	63.0	109.0	95.0	90.0	68.0	84.0	88.0	113.0	

Black-bellied Whistling-Duck	0.019230769230769232	0.009009009009009009	0.04854368932038835	0.04672897196261682	0.04838709677419355	0.08433734939759036	0.0449438202247191	0.047058823529411764	0.203125	0.26136363636363635	0.26582278481012656	0.24770642201834864	0.42424242424242425	0.4329896907216495	0.4690265486725664	0.5197368421052632	0.5757575757575758	0.5697674418604651	0.5454545454545454	0.6081081081081081	0.5660377358490566	0.8166666666666667	0.7843137254901961	0.6710526315789473	0.6851851851851852	0.7297297297297297	0.725	0.7241379310344828	0.7468354430379747	0.8421052631578947	0.6623376623376623	0.6914893617021277	0.8032786885245902	0.6063829787234043	0.6716417910447762	0.47540983606557374	0.44285714285714284	0.47692307692307695	0.2631578947368421	0.1951219512195122	0.1746031746031746	0.13761467889908258	0.1368421052631579	0.07777777777777778	0.058823529411764705	0.07142857142857142	0.011363636363636364	0.02654867256637168	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03529411764705882	0.0	0.0	0.0	0.0	0.0	0.030927835051546393	0.0	0.013157894736842105	0.0	0.011627906976744186	0.0015	0.013513513513513514	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.036036036036036036	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.011363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08256880733944955	0.0	0.011111111111111112	0.058823529411764705	0.0	0.022727272727272728	0.0	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06422018348623854	0.0	0.0	0.0	0.0	0.0	0.0	
Swan Goose (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011627906976744186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.04504504504504504	0.0	0.0	0.016129032258064516	0.060240963855421686	0.0	0.0	0.0	0.10227272727272728	0.0	0.0	0.0	0.0	0.008849557522123894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015384615384615385	0.017543859649122806	0.012195121951219513	0.0015	0.06422018348623854	0.042105263157894736	0.022222222222222223	0.08823529411764706	0.023809523809523808	0.056818181818181816	0.017699115044247787	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031746031746031744	0.009174311926605505	0.0	0.0	0.0	0.03571428571428571	0.011363636363636364	0.0	
Cackling/Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010526315789473684	0.0	0.0	0.0	0.0	0.0	
