









Frequency of observations in the selected location(s).:
Number of taxa: 	302

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	22.0	47.0	23.0	55.0	37.0	44.0	66.0	40.0	31.0	34.0	27.0	59.0	38.0	42.0	48.0	55.0	25.0	13.0	14.0	14.0	10.0	12.0	9.0	12.0	5.0	7.0	12.0	17.0	11.0	4.0	6.0	12.0	2.0	2.0	2.0	4.0	8.0	11.0	5.0	16.0	69.0	91.0	22.0	15.0	17.0	14.0	10.0	31.0	

Black-bellied Whistling-Duck	0.09090909090909091	0.02127659574468085	0.0	0.01818181818181818	0.05405405405405406	0.0	0.045454545454545456	0.0	0.06451612903225806	0.029411764705882353	0.0	0.1864406779661017	0.21052631578947367	0.16666666666666666	0.16666666666666666	0.21818181818181817	0.16	0.07692307692307693	0.07142857142857142	0.5	0.5	0.5833333333333334	0.3333333333333333	0.16666666666666666	0.4	0.5714285714285714	0.5833333333333334	0.5294117647058824	0.0	0.0	0.5	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.10144927536231885	0.03296703296703297	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.05405405405405406	0.045454545454545456	0.015151515151515152	0.05	0.06451612903225806	0.0	0.0	0.01694915254237288	0.0	0.047619047619047616	0.10416666666666667	0.10909090909090909	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.1111111111111111	0.0	0.0	0.14285714285714285	0.25	0.47058823529411764	0.18181818181818182	0.25	0.16666666666666666	0.3333333333333333	0.0	0.0	0.0015	0.0	0.25	0.18181818181818182	0.2	0.0	0.057971014492753624	0.02197802197802198	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023809523809523808	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.09090909090909091	0.0	0.0	0.09090909090909091	0.0	0.022727272727272728	0.015151515151515152	0.05	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014492753623188406	0.15384615384615385	0.045454545454545456	0.06666666666666667	0.058823529411764705	0.14285714285714285	0.1	0.0	
Ross's Goose	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03296703296703297	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.02127659574468085	0.043478260869565216	0.0	0.0	0.022727272727272728	0.015151515151515152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014492753623188406	0.12087912087912088	0.0	0.0	0.058823529411764705	0.07142857142857142	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
