









Frequency of observations in the selected location(s).:
Number of taxa: 	437

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	274.0	203.0	243.0	255.0	184.0	203.0	418.0	591.0	295.0	276.0	373.0	677.0	503.0	811.0	1143.0	1213.0	693.0	214.0	146.0	106.0	58.0	63.0	65.0	103.0	51.0	53.0	63.0	58.0	38.0	73.0	129.0	212.0	114.0	122.0	153.0	307.0	163.0	186.0	144.0	266.0	130.0	161.0	164.0	257.0	127.0	89.0	110.0	242.0	

Black-bellied Whistling-Duck	0.06569343065693431	0.03940886699507389	0.102880658436214	0.03529411764705882	0.005434782608695652	0.029556650246305417	0.028708133971291867	0.032148900169204735	0.06440677966101695	0.14130434782608695	0.26005361930294907	0.20974889217134415	0.21669980119284293	0.19482120838471023	0.18635170603674542	0.21434460016488047	0.20634920634920634	0.14953271028037382	0.22602739726027396	0.29245283018867924	0.3103448275862069	0.30158730158730157	0.3076923076923077	0.39805825242718446	0.2549019607843137	0.2830188679245283	0.23809523809523808	0.20689655172413793	0.2894736842105263	0.2328767123287671	0.14728682170542637	0.14622641509433962	0.11403508771929824	0.11475409836065574	0.11764705882352941	0.11074918566775244	0.09815950920245399	0.07526881720430108	0.09722222222222222	0.12030075187969924	0.05384615384615385	0.055900621118012424	0.054878048780487805	0.054474708171206226	0.015748031496062992	0.011235955056179775	0.02727272727272727	0.08264462809917356	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.00784313725490196	0.0	0.0049261083743842365	0.0	0.00676818950930626	0.0	0.025362318840579712	0.013404825737265416	0.019202363367799114	0.019880715705765408	0.0345252774352651	0.02099737532808399	0.014014839241549877	0.011544011544011544	0.014018691588785047	0.0136986301369863	0.03773584905660377	0.034482758620689655	0.015873015873015872	0.0	0.009708737864077669	0.0392156862745098	0.018867924528301886	0.015873015873015872	0.0	0.0	0.0136986301369863	0.015503875968992248	0.0	0.0	0.00819672131147541	0.0	0.0015	0.006134969325153374	0.0	0.006944444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.244023083264633E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.015384615384615385	0.009708737864077669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Snow Goose	0.014598540145985401	0.0049261083743842365	0.0	0.00784313725490196	0.0	0.0049261083743842365	0.0023923444976076554	0.01353637901861252	0.0	0.010869565217391304	0.0	0.0	0.0	0.0	8.748906386701663E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007692307692307693	0.049689440993788817	0.012195121951219513	0.0311284046692607	0.007874015748031496	0.02247191011235955	0.00909090909090909	0.02066115702479339	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0036231884057971015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006134969325153374	0.0	0.0	0.0	0.0015	0.024844720496894408	0.0015	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0036496350364963502	0.0	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0014771048744460858	0.0	0.0012330456226880395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010752688172043012	0.006944444444444444	0.007518796992481203	0.0	0.06832298136645963	0.012195121951219513	0.011673151750972763	0.0	0.0	0.00909090909090909	0.004132231404958678	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0012330456226880395	0.0	0.0	0.002886002886002886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001443001443001443	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
