









Frequency of observations in the selected location(s).:
Number of taxa: 	373

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	105.0	78.0	100.0	106.0	74.0	81.0	159.0	197.0	89.0	91.0	137.0	235.0	195.0	302.0	420.0	460.0	250.0	86.0	54.0	44.0	23.0	20.0	32.0	58.0	19.0	17.0	16.0	18.0	12.0	22.0	42.0	75.0	35.0	46.0	69.0	113.0	60.0	74.0	56.0	100.0	42.0	63.0	64.0	84.0	42.0	32.0	35.0	89.0	

Black-bellied Whistling-Duck	0.17142857142857143	0.10256410256410256	0.23	0.08490566037735849	0.013513513513513514	0.07407407407407407	0.07547169811320754	0.07614213197969544	0.11235955056179775	0.17582417582417584	0.26277372262773724	0.23404255319148937	0.11794871794871795	0.18874172185430463	0.17142857142857143	0.1608695652173913	0.116	0.1744186046511628	0.2962962962962963	0.38636363636363635	0.43478260869565216	0.45	0.46875	0.5862068965517241	0.47368421052631576	0.6470588235294118	0.5625	0.4444444444444444	0.5	0.4090909090909091	0.35714285714285715	0.29333333333333333	0.2857142857142857	0.15217391304347827	0.2028985507246377	0.20353982300884957	0.15	0.05405405405405406	0.07142857142857142	0.16	0.047619047619047616	0.07936507936507936	0.125	0.13095238095238096	0.047619047619047616	0.03125	0.08571428571428572	0.21348314606741572	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.018867924528301886	0.0	0.012345679012345678	0.0	0.015228426395939087	0.0	0.054945054945054944	0.029197080291970802	0.05106382978723404	0.05128205128205128	0.10596026490066225	0.05	0.02608695652173913	0.024	0.023255813953488372	0.018518518518518517	0.06818181818181818	0.043478260869565216	0.0015	0.0	0.017241379310344827	0.05263157894736842	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Snow Goose	0.02857142857142857	0.01282051282051282	0.0	0.009433962264150943	0.0	0.0	0.0	0.015228426395939087	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031746031746031744	0.015625	0.03571428571428571	0.0	0.03125	0.0	0.033707865168539325	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.0	0.0	0.0015	0.031746031746031744	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00425531914893617	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013513513513513514	0.0	0.0	0.0	0.06349206349206349	0.0	0.023809523809523808	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.009433962264150943	0.0	0.0	0.0	0.0	0.0	0.0	0.0072992700729927005	0.00425531914893617	0.005128205128205128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015873015873015872	0.0	0.011904761904761904	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.8761904761904762	0.7692307692307693	0.79	0.8207547169811321	0.8648648648648649	0.8518518518518519	0.8050314465408805	0.8578680203045685	0.9213483146067416	0.9010989010989011	0.8905109489051095	0.8425531914893617	0.8051282051282052	0.7748344370860927	0.7095238095238096	0.5065217391304347	0.424	0.46511627906976744	0.37037037037037035	0.38636363636363635	0.5652173913043478	0.3	0.3125	0.43103448275862066	0.15789473684210525	0.0	0.0625	0.0015	0.0	0.18181818181818182	0.11904761904761904	0.28	0.3142857142857143	0.30434782608695654	0.34782608695652173	0.46017699115044247	0.48333333333333334	0.5675675675675675	0.44642857142857145	0.49	0.4523809523809524	0.6507936507936508	0.59375	0.6666666666666666	0.7619047619047619	0.84375	0.8571428571428571	0.7640449438202247	
Cinnamon Teal	0.18095238095238095	0.05128205128205128	0.26	0.3018867924528302	0.33783783783783783	0.3950617283950617	0.4088050314465409	0.4263959390862944	0.449438202247191	0.37362637362637363	0.36496350364963503	0.34893617021276596	0.15897435897435896	0.09602649006622517	0.05476190476190476	0.034782608695652174	0.04	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021739130434782608	0.0	0.0	0.0	0.013513513513513514	0.0	0.01	0.047619047619047616	0.07936507936507936	0.0625	0.10714285714285714	0.23809523809523808	0.09375	0.17142857142857143	0.20224719101123595	
Blue-winged x Cinnamon Teal (hybrid)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033112582781456954	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
