









Frequency of observations in the selected location(s).:
Number of taxa: 	324

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	23.0	20.0	22.0	27.0	22.0	16.0	44.0	73.0	34.0	26.0	36.0	65.0	46.0	70.0	94.0	68.0	38.0	9.0	10.0	17.0	7.0	10.0	10.0	10.0	11.0	7.0	11.0	9.0	5.0	12.0	27.0	21.0	11.0	10.0	10.0	36.0	21.0	19.0	10.0	23.0	13.0	28.0	19.0	38.0	20.0	9.0	16.0	21.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.12307692307692308	0.1956521739130435	0.34285714285714286	0.1702127659574468	0.20588235294117646	0.13157894736842105	0.1111111111111111	0.4	0.11764705882352941	0.42857142857142855	0.4	0.2	0.1	0.18181818181818182	0.14285714285714285	0.18181818181818182	0.4444444444444444	0.4	0.16666666666666666	0.07407407407407407	0.14285714285714285	0.18181818181818182	0.1	0.2	0.08333333333333333	0.09523809523809523	0.05263157894736842	0.1	0.0	0.23076923076923078	0.03571428571428571	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.09090909090909091	0.0	0.0	0.08333333333333333	0.07407407407407407	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0273972602739726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.17857142857142858	0.05263157894736842	0.13157894736842105	0.05	0.1111111111111111	0.0625	0.047619047619047616	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0015	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.0	0.21428571428571427	0.05263157894736842	0.02631578947368421	0.0	0.0	0.0625	0.0	
Blue-winged Teal	0.21739130434782608	0.2	0.22727272727272727	0.2962962962962963	0.5	0.4375	0.4090909090909091	0.5753424657534246	0.47058823529411764	0.5769230769230769	0.8333333333333334	0.676923076923077	0.8043478260869565	0.7428571428571429	0.5957446808510638	0.5147058823529411	0.39473684210526316	0.4444444444444444	0.5	0.17647058823529413	0.42857142857142855	0.5	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.14285714285714285	0.0015	0.4	0.1	0.4444444444444444	0.47619047619047616	0.5789473684210527	0.4	0.34782608695652173	0.3076923076923077	0.5	0.10526315789473684	0.21052631578947367	0.4	0.3333333333333333	0.0625	0.19047619047619047	
Cinnamon Teal	0.0	0.0	0.0	0.07407407407407407	0.0	0.0	0.022727272727272728	0.0410958904109589	0.029411764705882353	0.07692307692307693	0.05555555555555555	0.07692307692307693	0.021739130434782608	0.04285714285714286	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	
Northern Shoveler	0.391304347826087	0.75	0.7727272727272727	0.7407407407407407	0.6363636363636364	0.875	0.7045454545454546	0.726027397260274	0.7647058823529411	0.6923076923076923	0.75	0.7384615384615385	0.8043478260869565	0.7285714285714285	0.574468085106383	0.3382352941176471	0.3684210526315789	0.1111111111111111	0.2	0.11764705882352941	0.2857142857142857	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.2	0.4	0.2222222222222222	0.09523809523809523	0.3684210526315789	0.5	0.21739130434782608	0.46153846153846156	0.6785714285714286	0.6842105263157895	0.47368421052631576	0.7	0.6666666666666666	0.5625	0.38095238095238093	
