









Frequency of observations in the selected location(s).:
Number of taxa: 	358

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	73.0	51.0	50.0	53.0	44.0	41.0	71.0	112.0	73.0	85.0	121.0	242.0	224.0	357.0	452.0	503.0	301.0	85.0	46.0	24.0	9.0	6.0	5.0	11.0	8.0	8.0	8.0	4.0	1.0	12.0	15.0	51.0	37.0	35.0	49.0	92.0	47.0	65.0	48.0	67.0	33.0	32.0	31.0	67.0	28.0	19.0	23.0	52.0	

Black-bellied Whistling-Duck	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.03571428571428571	0.0958904109589041	0.25882352941176473	0.4297520661157025	0.32644628099173556	0.38392857142857145	0.22969187675070027	0.25442477876106195	0.3320079522862823	0.3554817275747508	0.18823529411764706	0.21739130434782608	0.4166666666666667	0.4444444444444444	0.3333333333333333	0.4	0.2727272727272727	0.25	0.25	0.25	0.0015	0.0	0.25	0.13333333333333333	0.09803921568627451	0.02702702702702703	0.08571428571428572	0.0015	0.08695652173913043	0.0851063829787234	0.12307692307692308	0.1875	0.23880597014925373	0.030303030303030304	0.09375	0.0	0.014925373134328358	0.0	0.0	0.0	0.019230769230769232	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.009940357852882704	0.0033222591362126247	0.011764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019880715705765406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056022408963585435	0.0022123893805309734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019230769230769232	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03225806451612903	0.0	0.0	0.0	0.0	0.019230769230769232	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.006644518272425249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033222591362126247	0.011764705882352941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.273972602739726	0.17647058823529413	0.12	0.2641509433962264	0.3409090909090909	0.34146341463414637	0.36619718309859156	0.5	0.410958904109589	0.6941176470588235	0.5537190082644629	0.45867768595041325	0.5625	0.5266106442577031	0.4668141592920354	0.49105367793240556	0.4584717607973422	0.23529411764705882	0.15217391304347827	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.1568627450980392	0.05405405405405406	0.2	0.10204081632653061	0.18478260869565216	0.1702127659574468	0.27692307692307694	0.14583333333333334	0.29850746268656714	0.3939393939393939	0.46875	0.2903225806451613	0.22388059701492538	0.17857142857142858	0.21052631578947367	0.4782608695652174	0.36538461538461536	
