









Frequency of observations in the selected location(s).:
Number of taxa: 	237

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	15.0	9.0	8.0	9.0	6.0	8.0	3.0	6.0	7.0	5.0	5.0	24.0	14.0	15.0	17.0	40.0	15.0	2.0	7.0	7.0	8.0	3.0	2.0	3.0	0.0	3.0	1.0	7.0	5.0	5.0	6.0	15.0	7.0	3.0	9.0	8.0	10.0	10.0	12.0	12.0	4.0	3.0	5.0	10.0	0.0	4.0	7.0	6.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.2	0.2	0.16666666666666666	0.0	0.2	0.23529411764705882	0.35	0.2	0.5	0.2857142857142857	0.2857142857142857	0.375	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	0.0	0.5714285714285714	0.2	0.0	0.0	0.0	0.0	0.3333333333333333	0.1111111111111111	0.0	0.3	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.07142857142857142	0.06666666666666667	0.17647058823529413	0.15	0.2	0.5	0.14285714285714285	0.14285714285714285	0.625	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.2222222222222222	0.0	0.0	0.16666666666666666	0.125	0.0	0.0	0.7142857142857143	0.2	0.2	0.375	0.5	0.4666666666666667	0.47058823529411764	0.5	0.13333333333333333	1.0	0.5714285714285714	0.2857142857142857	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.14285714285714285	0.3333333333333333	0.3333333333333333	0.25	0.3	0.0	0.4166666666666667	0.08333333333333333	0.0	0.0	0.2	0.1	0.0	0.5	0.14285714285714285	0.0	
Northern Shoveler	0.13333333333333333	0.1111111111111111	0.0	0.1111111111111111	0.16666666666666666	0.0	0.0	0.0	0.14285714285714285	0.0	0.2	0.25	0.2857142857142857	0.26666666666666666	0.17647058823529413	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.125	0.3	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.5	0.2857142857142857	0.16666666666666666	
Gadwall	0.4666666666666667	0.1111111111111111	0.0	0.1111111111111111	0.0	0.0	0.0	0.16666666666666666	0.14285714285714285	0.0	0.2	0.08333333333333333	0.14285714285714285	0.0	0.11764705882352941	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.5	0.2857142857142857	0.0015	
American Wigeon	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.11764705882352941	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.14285714285714285	0.16666666666666666	
