









Frequency of observations in the selected location(s).:
Number of taxa: 	189

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	13.0	5.0	8.0	5.0	8.0	5.0	3.0	5.0	5.0	2.0	4.0	12.0	8.0	10.0	13.0	23.0	13.0	2.0	0.0	4.0	1.0	2.0	3.0	2.0	2.0	3.0	1.0	4.0	1.0	1.0	6.0	10.0	6.0	1.0	3.0	3.0	1.0	6.0	1.0	5.0	2.0	0.0	3.0	5.0	2.0	2.0	9.0	5.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.2	0.5	0.5	0.5	0.625	0.5	0.46153846153846156	0.6086956521739131	0.38461538461538464	0.5	0.0	0.25	0.0	0.0	0.0	1.0	0.5	0.3333333333333333	1.0	0.75	1.0	0.0	0.5	0.3	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	1.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.25	0.16666666666666666	0.125	0.0	0.38461538461538464	0.30434782608695654	0.3076923076923077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.2	0.0	0.2	0.3333333333333333	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.5384615384615384	0.8	0.5	0.4	0.5	0.6	0.3333333333333333	0.8	0.8	1.0	0.75	0.6666666666666666	0.5	0.6	0.8461538461538461	0.6956521739130435	0.6153846153846154	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.3333333333333333	0.0	0.6666666666666666	0.6666666666666666	1.0	0.3333333333333333	1.0	0.4	1.0	0.0	0.3333333333333333	0.8	0.5	1.0	0.3333333333333333	0.6	
Northern Shoveler	0.6923076923076923	0.6	0.875	0.6	0.75	0.8	0.6666666666666666	0.8	0.8	0.5	1.0	0.5	0.375	0.1	0.23076923076923078	0.13043478260869565	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.6666666666666666	0.6	1.0	1.0	0.4444444444444444	0.6	
Gadwall	0.5384615384615384	0.6	0.125	0.4	0.25	0.0	0.3333333333333333	0.4	0.6	0.0	0.5	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.6	0.5	1.0	0.4444444444444444	0.4	
American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	
Mallard	0.07692307692307693	0.0	0.125	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.4	0.5	0.5	0.0	0.0	
