









Frequency of observations in the selected location(s).:
Number of taxa: 	303

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	29.0	13.0	21.0	20.0	8.0	13.0	16.0	10.0	20.0	18.0	29.0	46.0	40.0	35.0	47.0	51.0	18.0	13.0	9.0	7.0	7.0	2.0	8.0	5.0	4.0	1.0	3.0	9.0	5.0	6.0	9.0	16.0	4.0	9.0	14.0	11.0	11.0	14.0	21.0	23.0	15.0	6.0	8.0	28.0	10.0	10.0	44.0	19.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.16666666666666666	0.10344827586206896	0.1956521739130435	0.25	0.02857142857142857	0.1276595744680851	0.09803921568627451	0.1111111111111111	0.23076923076923078	0.1111111111111111	0.14285714285714285	0.0	0.0	0.125	0.0	0.0	0.0	0.3333333333333333	0.0	0.4	0.0	0.1111111111111111	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.1	0.0	0.06818181818181818	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.05555555555555555	0.06896551724137931	0.043478260869565216	0.0015	0.02857142857142857	0.0425531914893617	0.0392156862745098	0.16666666666666666	0.15384615384615385	0.0	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043478260869565216	0.06666666666666667	0.3333333333333333	0.0	0.14285714285714285	0.1	0.1	0.06818181818181818	0.0	
Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.14285714285714285	0.0	0.0	0.045454545454545456	0.0	
Greater White-fronted Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08695652173913043	0.06666666666666667	0.0	0.0	0.0	0.0	0.1	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.0	0.07692307692307693	0.14285714285714285	0.0	0.125	0.15384615384615385	0.375	0.3	0.5	0.2222222222222222	0.4482758620689655	0.1956521739130435	0.15	0.05714285714285714	0.14893617021276595	0.09803921568627451	0.1111111111111111	0.15384615384615385	0.2222222222222222	0.14285714285714285	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.09090909090909091	0.09090909090909091	0.0	0.09523809523809523	0.08695652173913043	0.06666666666666667	0.0	0.125	0.03571428571428571	0.0	0.2	0.13636363636363635	0.05263157894736842	
Northern Shoveler	0.06896551724137931	0.07692307692307693	0.047619047619047616	0.0	0.25	0.07692307692307693	0.1875	0.0	0.15	0.2222222222222222	0.27586206896551724	0.043478260869565216	0.075	0.02857142857142857	0.06382978723404255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.047619047619047616	0.0	0.06666666666666667	0.0	0.125	0.17857142857142858	0.0	0.2	0.06818181818181818	0.05263157894736842	
