









Frequency of observations in the selected location(s).:
Number of taxa: 	356

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	18.0	6.0	8.0	13.0	4.0	7.0	4.0	15.0	15.0	36.0	49.0	166.0	173.0	236.0	219.0	319.0	135.0	48.0	27.0	27.0	3.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	2.0	10.0	14.0	31.0	30.0	24.0	33.0	32.0	37.0	31.0	57.0	33.0	18.0	17.0	22.0	26.0	7.0	7.0	11.0	7.0	

Black-bellied Whistling-Duck	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.12244897959183673	0.1746987951807229	0.23121387283236994	0.3093220338983051	0.3470319634703196	0.329153605015674	0.2962962962962963	0.3958333333333333	0.1111111111111111	0.5925925925925926	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.1	0.07142857142857142	0.0	0.06666666666666667	0.08333333333333333	0.12121212121212122	0.03125	0.0	0.03225806451612903	0.0	0.06060606060606061	0.0	0.0	0.0	0.0	0.14285714285714285	0.14285714285714285	0.09090909090909091	0.0	
Fulvous Whistling-Duck	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.006024096385542169	0.0	0.00847457627118644	0.0365296803652968	0.018808777429467086	0.022222222222222223	0.0015	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.06060606060606061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.05555555555555555	0.11764705882352941	0.0	0.038461538461538464	0.0	0.0	0.09090909090909091	0.0	
Ross's Goose	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.05555555555555555	0.058823529411764705	0.0	0.0015	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Cackling/Canada Goose	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006024096385542169	0.0	0.0	0.0045662100456621	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
