









Frequency of observations in the selected location(s).:
Number of taxa: 	240

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3.0	5.0	3.0	8.0	7.0	6.0	0.0	6.0	5.0	8.0	7.0	13.0	9.0	18.0	24.0	34.0	13.0	9.0	3.0	1.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	1.0	0.0	1.0	1.0	10.0	0.0	1.0	2.0	2.0	2.0	1.0	4.0	2.0	1.0	1.0	2.0	1.0	0.0	3.0	9.0	0.0	

Black-bellied Whistling-Duck	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.3333333333333333	0.3888888888888889	0.041666666666666664	0.14705882352941177	0.07692307692307693	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.20588235294117646	0.07692307692307693	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	
Blue-winged Teal	0.3333333333333333	0.0	0.0	0.125	0.0	0.16666666666666666	0.0	0.5	0.2	0.5	0.14285714285714285	0.3076923076923077	0.7777777777777778	0.4444444444444444	0.4583333333333333	0.5	0.3076923076923077	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.1111111111111111	0.0	
Northern Shoveler	0.0	0.0	0.0	0.125	0.2857142857142857	0.0	0.0	0.16666666666666666	0.2	0.25	0.0	0.38461538461538464	0.2222222222222222	0.2777777777777778	0.041666666666666664	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	
Gadwall	0.3333333333333333	0.2	0.0	0.25	0.42857142857142855	0.3333333333333333	0.0	0.3333333333333333	0.2	0.125	0.14285714285714285	0.07692307692307693	0.2222222222222222	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0015	0.0	0.0	0.3333333333333333	0.4444444444444444	0.0	
American Wigeon	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	
Mallard	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23076923076923078	0.0	0.0015	0.0	0.08823529411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
