









Frequency of observations in the selected location(s).:
Number of taxa: 	365

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	291.0	241.0	339.0	378.0	311.0	305.0	426.0	429.0	340.0	322.0	230.0	255.0	163.0	175.0	171.0	186.0	45.0	33.0	31.0	44.0	13.0	56.0	16.0	49.0	13.0	19.0	20.0	35.0	18.0	8.0	3.0	14.0	3.0	13.0	19.0	33.0	14.0	14.0	11.0	40.0	259.0	310.0	132.0	139.0	99.0	112.0	128.0	195.0	

Black-bellied Whistling-Duck	0.003436426116838488	0.0	0.0029498525073746312	0.005291005291005291	0.0	0.003278688524590164	0.0	0.004662004662004662	0.008823529411764706	0.009316770186335404	0.013043478260869565	0.043137254901960784	0.0736196319018405	0.08	0.07602339181286549	0.12903225806451613	0.15555555555555556	0.18181818181818182	0.0967741935483871	0.11363636363636363	0.07692307692307693	0.017857142857142856	0.125	0.04081632653061224	0.07692307692307693	0.0	0.15	0.14285714285714285	0.16666666666666666	0.0	0.0	0.14285714285714285	0.0	0.0	0.05263157894736842	0.030303030303030304	0.0	0.0	0.09090909090909091	0.0	0.019305019305019305	0.00967741935483871	0.007575757575757576	0.007194244604316547	0.010101010101010102	0.0	0.0	0.005128205128205128	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.006872852233676976	0.004149377593360996	0.014749262536873156	0.0	0.00964630225080386	0.006557377049180328	0.004694835680751174	0.0	0.0058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007722007722007722	0.025806451612903226	0.007575757575757576	0.014388489208633094	0.0	0.0	0.015625	0.010256410256410256	
Greater White-fronted Goose	0.037800687285223365	0.024896265560165973	0.04129793510324484	0.010582010582010581	0.01929260450160772	0.009836065573770493	0.004694835680751174	0.009324009324009324	0.0029411764705882353	0.003105590062111801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.075	0.09266409266409266	0.16774193548387098	0.06060606060606061	0.07913669064748201	0.050505050505050504	0.026785714285714284	0.1015625	0.09743589743589744	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014388489208633094	0.0	0.0	0.0	0.0	
Muscovy Duck	0.006872852233676976	0.0	0.0029498525073746312	0.007936507936507936	0.003215434083601286	0.0	0.009389671361502348	0.009324009324009324	0.014705882352941176	0.021739130434782608	0.034782608695652174	0.03137254901960784	0.0736196319018405	0.06285714285714286	0.023391812865497075	0.04838709677419355	0.08888888888888889	0.030303030303030304	0.0	0.09090909090909091	0.0	0.0	0.125	0.0	0.15384615384615385	0.0015	0.0015	0.05714285714285714	0.05555555555555555	0.0	0.0	0.0015	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.00967741935483871	0.0015	0.007194244604316547	0.0	0.0	0.0390625	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.004662004662004662	0.0	0.0	0.0	0.00392156862745098	0.006134969325153374	0.005714285714285714	0.0015	0.0015	0.0	0.0	0.0	0.022727272727272728	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010256410256410256	
Wood Duck	0.006872852233676976	0.0	0.0029498525073746312	0.005291005291005291	0.0	0.003278688524590164	0.0	0.0	0.0	0.003105590062111801	0.0	0.0	0.006134969325153374	0.005714285714285714	0.005847953216374269	0.005376344086021506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007722007722007722	0.012903225806451613	0.022727272727272728	0.03597122302158273	0.030303030303030304	0.026785714285714284	0.03125	0.020512820512820513	
Blue-winged Teal	0.07903780068728522	0.0912863070539419	0.07669616519174041	0.07142857142857142	0.05144694533762058	0.08524590163934426	0.08450704225352113	0.08857808857808858	0.10588235294117647	0.17080745341614906	0.12608695652173912	0.18823529411764706	0.147239263803681	0.10857142857142857	0.11695906432748537	0.06451612903225806	0.1111111111111111	0.06060606060606061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.10526315789473684	0.030303030303030304	0.0	0.14285714285714285	0.0	0.05	0.007722007722007722	0.06774193548387097	0.06818181818181818	0.03597122302158273	0.08080808080808081	0.09821428571428571	0.140625	0.08205128205128205	
Cinnamon Teal	0.01718213058419244	0.004149377593360996	0.0015	0.013227513227513227	0.003215434083601286	0.009836065573770493	0.0	0.0	0.0	0.006211180124223602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011583011583011582	0.0	0.007575757575757576	0.007194244604316547	0.0	0.008928571428571428	0.0	0.0	
Northern Shoveler	0.03436426116838488	0.016597510373443983	0.02359882005899705	0.023809523809523808	0.00964630225080386	0.04262295081967213	0.028169014084507043	0.02564102564102564	0.029411764705882353	0.031055900621118012	0.034782608695652174	0.0392156862745098	0.06134969325153374	0.04	0.06432748538011696	0.021505376344086023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.05	0.04633204633204633	0.04516129032258064	0.045454545454545456	0.02877697841726619	0.010101010101010102	0.017857142857142856	0.046875	0.035897435897435895	
Gadwall	0.13058419243986255	0.14107883817427386	0.14749262536873156	0.1693121693121693	0.11254019292604502	0.20327868852459016	0.176056338028169	0.1864801864801865	0.20588235294117646	0.20186335403726707	0.1565217391304348	0.16470588235294117	0.06134969325153374	0.05142857142857143	0.017543859649122806	0.005376344086021506	0.06666666666666667	0.0	0.06451612903225806	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.05	0.04633204633204633	0.1032258064516129	0.06818181818181818	0.050359712230215826	0.1111111111111111	0.16071428571428573	0.125	0.15384615384615385	
American Wigeon	0.07216494845360824	0.04149377593360996	0.04129793510324484	0.03968253968253968	0.04180064308681672	0.05573770491803279	0.05868544600938967	0.05128205128205128	0.052941176470588235	0.040372670807453416	0.043478260869565216	0.023529411764705882	0.012269938650306749	0.005714285714285714	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03088803088803089	0.01935483870967742	0.045454545454545456	0.014388489208633094	0.010101010101010102	0.026785714285714284	0.0390625	0.010256410256410256	
Mallard	0.003436426116838488	0.0	0.0	0.0	0.003215434083601286	0.0	0.007042253521126761	0.0	0.0029411764705882353	0.0	0.004347826086956522	0.00784313725490196	0.0	0.005714285714285714	0.0	0.005376344086021506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016129032258064516	0.0	0.007194244604316547	0.0	0.008928571428571428	0.0015	0.005128205128205128	
Mallard (Domestic type)	0.003436426116838488	0.008298755186721992	0.0058997050147492625	0.0026455026455026454	0.006430868167202572	0.006557377049180328	0.007042253521126761	0.002331002331002331	0.0	0.003105590062111801	0.004347826086956522	0.00392156862745098	0.006134969325153374	0.0	0.011695906432748537	0.005376344086021506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0032258064516129032	0.0	0.0015	0.0	0.008928571428571428	0.0	0.005128205128205128	
Mexican Duck	0.05154639175257732	0.02074688796680498	0.06489675516224189	0.015873015873015872	0.05787781350482315	0.05573770491803279	0.07511737089201878	0.04895104895104895	0.052941176470588235	0.055900621118012424	0.04782608695652174	0.054901960784313725	0.07975460122699386	0.06285714285714286	0.0935672514619883	0.08602150537634409	0.044444444444444446	0.030303030303030304	0.06451612903225806	0.045454545454545456	0.07692307692307693	0.017857142857142856	0.0625	0.0	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.07142857142857142	0.07142857142857142	0.09090909090909091	0.025	0.09652509652509653	0.09032258064516129	0.05303030303030303	0.07194244604316546	0.050505050505050504	0.03571428571428571	0.0546875	0.020512820512820513	
