









Frequency of observations in the selected location(s).:
Number of taxa: 	343

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	42.0	28.0	32.0	37.0	22.0	29.0	28.0	31.0	14.0	28.0	17.0	38.0	28.0	29.0	48.0	47.0	11.0	7.0	12.0	3.0	8.0	3.0	14.0	6.0	7.0	4.0	2.0	4.0	3.0	7.0	5.0	19.0	7.0	8.0	11.0	9.0	6.0	7.0	11.0	24.0	10.0	12.0	19.0	55.0	25.0	39.0	89.0	35.0	

Black-bellied Whistling-Duck	0.0	0.03571428571428571	0.0	0.0	0.045454545454545456	0.06896551724137931	0.03571428571428571	0.1935483870967742	0.0	0.03571428571428571	0.058823529411764705	0.10526315789473684	0.17857142857142858	0.20689655172413793	0.2708333333333333	0.2765957446808511	0.2727272727272727	0.42857142857142855	0.25	0.6666666666666666	0.25	0.3333333333333333	0.5	0.3333333333333333	0.2857142857142857	0.25	0.0	0.25	0.3333333333333333	0.2857142857142857	0.2	0.10526315789473684	0.14285714285714285	0.375	0.09090909090909091	0.2222222222222222	0.16666666666666666	0.0	0.0	0.125	0.2	0.0	0.05263157894736842	0.01818181818181818	0.0	0.02564102564102564	0.07865168539325842	0.02857142857142857	
Fulvous Whistling-Duck	0.09523809523809523	0.0	0.0	0.0	0.0	0.034482758620689655	0.03571428571428571	0.0	0.07142857142857142	0.07142857142857142	0.11764705882352941	0.07894736842105263	0.32142857142857145	0.3103448275862069	0.4583333333333333	0.1702127659574468	0.09090909090909091	0.14285714285714285	0.25	0.3333333333333333	0.625	0.6666666666666666	0.35714285714285715	0.8333333333333334	0.7142857142857143	0.0	0.0	0.25	0.3333333333333333	0.2857142857142857	0.4	0.21052631578947367	0.0	0.0	0.09090909090909091	0.2222222222222222	0.0	0.0	0.0	0.041666666666666664	0.3	0.08333333333333333	0.0	0.0	0.0	0.02564102564102564	0.011235955056179775	0.0	
Snow Goose	0.38095238095238093	0.4642857142857143	0.40625	0.4594594594594595	0.36363636363636365	0.3103448275862069	0.25	0.1935483870967742	0.07142857142857142	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.3333333333333333	0.21052631578947367	0.45454545454545453	0.52	0.48717948717948717	0.5730337078651685	0.4857142857142857	
Ross's Goose	0.14285714285714285	0.14285714285714285	0.125	0.08108108108108109	0.09090909090909091	0.06896551724137931	0.0	0.03225806451612903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.15789473684210525	0.09090909090909091	0.08	0.07692307692307693	0.15730337078651685	0.05714285714285714	
Snow/Ross's Goose	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02564102564102564	0.0	0.02857142857142857	
Greater White-fronted Goose	0.38095238095238093	0.35714285714285715	0.34375	0.5945945945945946	0.5909090909090909	0.5862068965517241	0.21428571428571427	0.12903225806451613	0.14285714285714285	0.10714285714285714	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.1	0.16666666666666666	0.2631578947368421	0.2545454545454545	0.28	0.358974358974359	0.4943820224719101	0.4857142857142857	
Cackling Goose	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.011235955056179775	0.0015	
Cackling/Canada Goose	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.03571428571428571	0.03125	0.02702702702702703	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.02564102564102564	0.06741573033707865	0.02857142857142857	
