









Frequency of observations in the selected location(s).:
Number of taxa: 	397

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	223.0	238.0	258.0	357.0	232.0	256.0	268.0	248.0	207.0	252.0	289.0	370.0	170.0	162.0	166.0	154.0	60.0	32.0	31.0	42.0	56.0	39.0	37.0	43.0	20.0	19.0	27.0	41.0	32.0	31.0	25.0	27.0	31.0	27.0	40.0	32.0	33.0	26.0	37.0	62.0	205.0	276.0	94.0	125.0	95.0	117.0	118.0	212.0	

Black-bellied Whistling-Duck	0.08520179372197309	0.058823529411764705	0.08527131782945736	0.10364145658263306	0.125	0.01953125	0.08208955223880597	0.08870967741935484	0.178743961352657	0.26587301587301587	0.4290657439446367	0.6027027027027027	0.7352941176470589	0.7592592592592593	0.7289156626506024	0.7337662337662337	0.75	0.59375	0.7741935483870968	0.6428571428571429	0.5714285714285714	0.8205128205128205	0.5405405405405406	0.6511627906976745	0.6	0.5263157894736842	0.5555555555555556	0.5609756097560976	0.40625	0.45161290322580644	0.72	0.5185185185185185	0.3225806451612903	0.3333333333333333	0.225	0.21875	0.15151515151515152	0.4230769230769231	0.43243243243243246	0.5	0.5902439024390244	0.37318840579710144	0.3829787234042553	0.336	0.23157894736842105	0.19658119658119658	0.11016949152542373	0.08962264150943396	
Fulvous Whistling-Duck	0.1031390134529148	0.10084033613445378	0.10465116279069768	0.10364145658263306	0.09913793103448276	0.09375	0.09701492537313433	0.1935483870967742	0.18357487922705315	0.15079365079365079	0.12802768166089964	0.17027027027027028	0.17647058823529413	0.2222222222222222	0.1746987951807229	0.14285714285714285	0.1	0.125	0.2903225806451613	0.023809523809523808	0.03571428571428571	0.02564102564102564	0.05405405405405406	0.0	0.05	0.05263157894736842	0.0	0.0	0.03125	0.0	0.04	0.07407407407407407	0.03225806451612903	0.0	0.025	0.0	0.0	0.038461538461538464	0.05405405405405406	0.04838709677419355	0.04878048780487805	0.08333333333333333	0.06382978723404255	0.008	0.031578947368421054	0.02564102564102564	0.05084745762711865	0.04716981132075472	
whistling-duck sp.	0.0	0.0	0.0	0.0028011204481792717	0.0	0.0	0.0	0.0	0.0	0.0	0.0034602076124567475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.017937219730941704	0.008403361344537815	0.011627906976744186	0.014005602240896359	0.02586206896551724	0.00390625	0.018656716417910446	0.024193548387096774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00975609756097561	0.03260869565217391	0.010638297872340425	0.008	0.021052631578947368	0.02564102564102564	0.025423728813559324	0.02830188679245283	
Ross's Goose	0.0	0.004201680672268907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007246376811594203	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0028011204481792717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.06726457399103139	0.046218487394957986	0.023255813953488372	0.0028011204481792717	0.004310344827586207	0.01171875	0.014925373134328358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05405405405405406	0.08064516129032258	0.03902439024390244	0.08333333333333333	0.031914893617021274	0.088	0.06315789473684211	0.05128205128205128	0.03389830508474576	0.02358490566037736	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023255813953488372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
