









Frequency of observations in the selected location(s).:
Number of taxa: 	404

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	254.0	280.0	299.0	435.0	277.0	333.0	355.0	318.0	257.0	300.0	351.0	451.0	208.0	198.0	223.0	187.0	74.0	39.0	39.0	55.0	67.0	47.0	47.0	45.0	20.0	21.0	34.0	46.0	39.0	35.0	27.0	28.0	33.0	31.0	49.0	33.0	37.0	36.0	51.0	85.0	289.0	353.0	143.0	173.0	125.0	142.0	136.0	296.0	

Black-bellied Whistling-Duck	0.07874015748031496	0.05	0.07357859531772576	0.10804597701149425	0.12274368231046931	0.015015015015015015	0.07323943661971831	0.09748427672955975	0.14396887159533073	0.25	0.39886039886039887	0.541019955654102	0.6971153846153846	0.702020202020202	0.6860986547085202	0.7005347593582888	0.7432432432432432	0.5641025641025641	0.7435897435897436	0.6545454545454545	0.5522388059701493	0.7872340425531915	0.48936170212765956	0.6444444444444445	0.6	0.5714285714285714	0.5	0.5217391304347826	0.38461538461538464	0.4	0.7037037037037037	0.5357142857142857	0.30303030303030304	0.2903225806451613	0.22448979591836735	0.21212121212121213	0.16216216216216217	0.3055555555555556	0.39215686274509803	0.49411764705882355	0.5190311418685121	0.3597733711048159	0.34965034965034963	0.27167630057803466	0.2	0.1619718309859155	0.10294117647058823	0.07432432432432433	
Fulvous Whistling-Duck	0.09448818897637795	0.08571428571428572	0.09698996655518395	0.09425287356321839	0.11191335740072202	0.08708708708708708	0.10985915492957747	0.18238993710691823	0.15953307392996108	0.14666666666666667	0.12535612535612536	0.1574279379157428	0.1201923076923077	0.16161616161616163	0.16143497757847533	0.1443850267379679	0.08108108108108109	0.1282051282051282	0.23076923076923078	0.03636363636363636	0.029850746268656716	0.02127659574468085	0.0425531914893617	0.0	0.05	0.047619047619047616	0.0	0.0	0.02564102564102564	0.0	0.037037037037037035	0.07142857142857142	0.030303030303030304	0.0	0.02040816326530612	0.0	0.0	0.027777777777777776	0.0392156862745098	0.03529411764705882	0.058823529411764705	0.07365439093484419	0.055944055944055944	0.011560693641618497	0.024	0.02112676056338028	0.04411764705882353	0.05067567567567568	
whistling-duck sp.	0.0	0.0	0.0	0.0022988505747126436	0.0	0.0	0.0	0.0	0.0	0.0	0.002849002849002849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034602076124567475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.015748031496062992	0.007142857142857143	0.010033444816053512	0.011494252873563218	0.02527075812274368	0.003003003003003003	0.014084507042253521	0.0220125786163522	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010380622837370242	0.031161473087818695	0.006993006993006993	0.005780346820809248	0.04	0.02112676056338028	0.022058823529411766	0.02027027027027027	
Ross's Goose	0.0	0.0035714285714285713	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0056657223796034	0.0	0.0	0.0	0.0	0.0	0.0	
Snow/Ross's Goose	0.0	0.0	0.0	0.0022988505747126436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.05905511811023622	0.039285714285714285	0.023411371237458192	0.0022988505747126436	0.0036101083032490976	0.009009009009009009	0.011267605633802818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0392156862745098	0.07058823529411765	0.031141868512110725	0.07932011331444759	0.02097902097902098	0.06936416184971098	0.048	0.056338028169014086	0.03676470588235294	0.02027027027027027	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022222222222222223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
