









Frequency of observations in the selected location(s).:
Number of taxa: 	290

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	4.0	11.0	9.0	19.0	9.0	20.0	22.0	21.0	7.0	12.0	16.0	25.0	14.0	9.0	11.0	4.0	3.0	2.0	1.0	3.0	2.0	1.0	3.0	0.0	0.0	2.0	1.0	1.0	3.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	3.0	4.0	8.0	24.0	19.0	7.0	11.0	8.0	7.0	3.0	23.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.42105263157894735	0.3333333333333333	0.0	0.18181818181818182	0.23809523809523808	0.14285714285714285	0.3333333333333333	0.5	0.76	0.9285714285714286	0.8888888888888888	0.8181818181818182	0.75	1.0	0.5	1.0	1.0	0.5	0.0	0.6666666666666666	0.0	0.0	1.0	1.0	1.0	0.6666666666666666	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.625	0.5	0.5789473684210527	0.2857142857142857	0.09090909090909091	0.375	0.0	0.3333333333333333	0.13043478260869565	
Fulvous Whistling-Duck	0.0	0.0	0.2222222222222222	0.05263157894736842	0.3333333333333333	0.2	0.45454545454545453	0.38095238095238093	0.14285714285714285	0.3333333333333333	0.375	0.2	0.21428571428571427	0.3333333333333333	0.18181818181818182	0.5	0.0	0.5	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.10526315789473684	0.0	0.09090909090909091	0.0	0.0	0.0	0.08695652173913043	
Snow Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.041666666666666664	0.10526315789473684	0.0	0.0	0.0	0.14285714285714285	0.3333333333333333	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041666666666666664	0.10526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.75	0.36363636363636365	0.6666666666666666	0.7368421052631579	0.8888888888888888	0.95	0.8181818181818182	0.8095238095238095	0.8571428571428571	0.6666666666666666	1.0	0.8	0.8571428571428571	1.0	0.8181818181818182	0.75	1.0	1.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.75	0.7916666666666666	0.8421052631578947	0.8571428571428571	0.6363636363636364	0.875	1.0	0.3333333333333333	0.7391304347826086	
Cinnamon Teal	0.0	0.2727272727272727	0.3333333333333333	0.631578947368421	0.4444444444444444	0.65	0.36363636363636365	0.6666666666666666	0.7142857142857143	0.4166666666666667	0.5	0.12	0.21428571428571427	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.2916666666666667	0.3684210526315789	0.0	0.09090909090909091	0.0	0.42857142857142855	0.0	0.13043478260869565	
Blue-winged/Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
