









Frequency of observations in the selected location(s).:
Number of taxa: 	282

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	16.0	17.0	11.0	21.0	15.0	17.0	13.0	15.0	18.0	21.0	12.0	29.0	17.0	15.0	15.0	7.0	3.0	1.0	3.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	2.0	5.0	18.0	20.0	8.0	16.0	5.0	7.0	6.0	32.0	

Black-bellied Whistling-Duck	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.06666666666666667	0.0	0.09523809523809523	0.08333333333333333	0.13793103448275862	0.29411764705882354	0.5333333333333333	0.4666666666666667	0.7142857142857143	0.6666666666666666	1.0	0.6666666666666666	0.5	0.5	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.8	0.4444444444444444	0.4	0.375	0.25	0.2	0.0	0.0	0.0015	
Fulvous Whistling-Duck	0.0625	0.0	0.0	0.14285714285714285	0.2	0.058823529411764705	0.07692307692307693	0.06666666666666667	0.1111111111111111	0.047619047619047616	0.08333333333333333	0.034482758620689655	0.058823529411764705	0.2	0.13333333333333333	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	
Greater White-fronted Goose	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0625	0.0	0.14285714285714285	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.125	0.4	0.0	0.16666666666666666	0.0	
Blue-winged Teal	0.8125	0.8235294117647058	0.8181818181818182	0.7619047619047619	0.8	0.8235294117647058	0.8461538461538461	1.0	0.8888888888888888	0.7142857142857143	1.0	0.8620689655172413	0.8823529411764706	0.8	0.7333333333333333	0.7142857142857143	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	1.0	0.0	0.0	1.0	0.6666666666666666	0.65	0.875	0.6875	0.8	0.8571428571428571	0.8333333333333334	0.6875	
Cinnamon Teal	0.375	0.5294117647058824	0.45454545454545453	0.5714285714285714	0.4666666666666667	0.5294117647058824	0.5384615384615384	0.8666666666666667	0.3333333333333333	0.3333333333333333	0.6666666666666666	0.3448275862068966	0.35294117647058826	0.2	0.2	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.16666666666666666	0.2	0.125	0.25	0.0	0.2857142857142857	0.16666666666666666	0.1875	
Northern Shoveler	0.9375	0.9411764705882353	0.9090909090909091	0.7142857142857143	0.8666666666666667	0.8823529411764706	0.8461538461538461	1.0	0.8333333333333334	0.7142857142857143	0.8333333333333334	0.6896551724137931	0.6470588235294118	0.26666666666666666	0.3333333333333333	0.2857142857142857	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.8	0.4444444444444444	0.6	1.0	0.75	0.8	0.8571428571428571	1.0	0.78125	
Gadwall	0.625	0.8235294117647058	0.6363636363636364	0.5714285714285714	0.6666666666666666	0.8823529411764706	0.5384615384615384	0.8666666666666667	0.6666666666666666	0.2857142857142857	0.75	0.5862068965517241	0.47058823529411764	0.4666666666666667	0.4666666666666667	0.2857142857142857	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.5	0.375	0.75	0.8	0.7142857142857143	1.0	0.6875	
American Wigeon	0.125	0.0	0.09090909090909091	0.14285714285714285	0.13333333333333333	0.17647058823529413	0.38461538461538464	0.4	0.05555555555555555	0.047619047619047616	0.3333333333333333	0.10344827586206896	0.23529411764705882	0.2	0.13333333333333333	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.125	0.1875	0.0	0.0	0.16666666666666666	0.09375	
Mallard (Domestic type)	0.0	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mexican Duck	0.0625	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.047619047619047616	0.0	0.0	0.058823529411764705	0.06666666666666667	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.125	0.0	0.0	0.0	0.0	0.0	
