









Frequency of observations in the selected location(s).:
Number of taxa: 	453

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	293.0	277.0	334.0	366.0	262.0	230.0	336.0	321.0	220.0	224.0	282.0	591.0	566.0	1002.0	969.0	1321.0	486.0	174.0	106.0	116.0	47.0	46.0	45.0	40.0	24.0	44.0	58.0	85.0	64.0	45.0	60.0	136.0	92.0	69.0	148.0	284.0	353.0	189.0	138.0	298.0	468.0	784.0	223.0	222.0	114.0	131.0	128.0	308.0	

Black-bellied Whistling-Duck	0.14675767918088736	0.09747292418772563	0.0688622754491018	0.09836065573770492	0.13358778625954199	0.07391304347826087	0.17261904761904762	0.2367601246105919	0.37272727272727274	0.45089285714285715	0.48226950354609927	0.48392554991539766	0.5229681978798587	0.5319361277445109	0.5356037151702786	0.5753217259651779	0.5864197530864198	0.6839080459770115	0.5849056603773585	0.5775862068965517	0.6595744680851063	0.6086956521739131	0.8222222222222222	0.575	0.5833333333333334	0.38636363636363635	0.5172413793103449	0.43529411764705883	0.46875	0.4222222222222222	0.25	0.21323529411764705	0.2717391304347826	0.17391304347826086	0.12837837837837837	0.1267605633802817	0.0906515580736544	0.05291005291005291	0.12318840579710146	0.07718120805369127	0.10683760683760683	0.0663265306122449	0.05829596412556054	0.13963963963963963	0.10526315789473684	0.06870229007633588	0.1484375	0.13636363636363635	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.00273224043715847	0.007633587786259542	0.0	0.002976190476190476	0.009345794392523364	0.0	0.0	0.0070921985815602835	0.01015228426395939	0.028268551236749116	0.023952095808383235	0.015479876160990712	0.021196063588190765	0.02880658436213992	0.08045977011494253	0.03773584905660377	0.017241379310344827	0.0	0.021739130434782608	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.044444444444444446	0.0	0.0	0.021739130434782608	0.0	0.0	0.0	0.0	0.010582010582010581	0.0	0.0	0.0	0.0012755102040816326	0.008968609865470852	0.0045045045045045045	0.0	0.0	0.0078125	0.012987012987012988	
whistling-duck sp.	0.0	0.0	0.0029940119760479044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001996007984031936	0.0	7.57002271006813E-4	0.00205761316872428	0.0	0.009433962264150943	0.0	0.0	0.021739130434782608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0015	0.0036101083032490976	0.0	0.00546448087431694	0.003816793893129771	0.004347826086956522	0.002976190476190476	0.006230529595015576	0.0	0.004464285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003355704697986577	0.0	0.04081632653061224	0.0	0.0045045045045045045	0.0	0.0	0.0078125	0.016233766233766232	
Ross's Goose	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.004464285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006377551020408163	0.0	0.0	0.0	0.0	0.0	0.0015	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003355704697986577	0.0	0.002551020408163265	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0034129692832764505	0.0036101083032490976	0.005988023952095809	0.0	0.003816793893129771	0.004347826086956522	0.0	0.0	0.0	0.004464285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.006377551020408163	0.004484304932735426	0.0045045045045045045	0.0	0.0	0.0078125	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001514004542013626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001692047377326565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.005988023952095809	0.00819672131147541	0.003816793893129771	0.004347826086956522	0.01488095238095238	0.028037383177570093	0.05	0.03125	0.024822695035460994	0.02707275803722504	0.0	0.0	0.0	7.57002271006813E-4	0.0	0.0	0.009433962264150943	0.008620689655172414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
