









Frequency of observations in the selected location(s).:
Number of taxa: 	384

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	18.0	13.0	20.0	18.0	12.0	15.0	9.0	14.0	13.0	10.0	10.0	36.0	43.0	50.0	63.0	88.0	36.0	17.0	8.0	5.0	1.0	6.0	2.0	4.0	2.0	8.0	2.0	5.0	3.0	3.0	9.0	8.0	6.0	3.0	4.0	5.0	10.0	5.0	9.0	11.0	29.0	34.0	8.0	17.0	7.0	5.0	11.0	25.0	

Black-bellied Whistling-Duck	0.1111111111111111	0.0	0.0	0.05555555555555555	0.08333333333333333	0.0	0.1111111111111111	0.35714285714285715	0.3076923076923077	0.4	0.7	0.6666666666666666	0.5813953488372093	0.64	0.7301587301587301	0.7159090909090909	0.5833333333333334	0.7058823529411765	0.625	0.0	0.0	0.3333333333333333	0.5	0.25	0.5	0.125	0.5	0.0	0.3333333333333333	0.3333333333333333	0.1111111111111111	0.375	0.16666666666666666	0.0015	0.25	0.0	0.1	0.0015	0.1111111111111111	0.09090909090909091	0.2413793103448276	0.058823529411764705	0.0	0.058823529411764705	0.0015	0.0	0.0	0.04	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06976744186046512	0.02	0.015873015873015872	0.022727272727272728	0.05555555555555555	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	
Snow Goose	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.07692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.2222222222222222	0.3076923076923077	0.1	0.3333333333333333	0.25	0.3333333333333333	0.5555555555555556	0.6428571428571429	0.3076923076923077	0.5	0.7	0.5	0.4418604651162791	0.36	0.38095238095238093	0.3409090909090909	0.16666666666666666	0.35294117647058826	0.25	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.125	0.0	0.0015	0.0	0.0	0.1	0.2	0.2222222222222222	0.45454545454545453	0.2413793103448276	0.3235294117647059	0.125	0.11764705882352941	0.14285714285714285	0.6	0.2727272727272727	0.12	
Cinnamon Teal	0.0	0.0	0.0	0.05555555555555555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.04	
Blue-winged/Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
