









Frequency of observations in the selected location(s).:
Number of taxa: 	393

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	121.0	119.0	119.0	160.0	107.0	76.0	132.0	123.0	105.0	91.0	90.0	152.0	103.0	187.0	123.0	187.0	54.0	29.0	19.0	36.0	19.0	27.0	29.0	19.0	11.0	18.0	24.0	27.0	25.0	16.0	12.0	19.0	25.0	18.0	20.0	87.0	158.0	76.0	37.0	61.0	108.0	152.0	63.0	78.0	42.0	58.0	56.0	131.0	

Black-bellied Whistling-Duck	0.2892561983471074	0.19327731092436976	0.15126050420168066	0.14375	0.2523364485981308	0.17105263157894737	0.2727272727272727	0.3983739837398374	0.6	0.6923076923076923	0.8777777777777778	0.868421052631579	0.8737864077669902	0.8663101604278075	0.8699186991869918	0.8663101604278075	0.9074074074074074	0.8620689655172413	0.8947368421052632	0.8611111111111112	1.0	0.8888888888888888	0.9310344827586207	0.7368421052631579	0.6363636363636364	0.6111111111111112	0.6666666666666666	0.7777777777777778	0.68	0.75	0.5833333333333334	0.631578947368421	0.52	0.5	0.4	0.2413793103448276	0.1518987341772152	0.039473684210526314	0.2702702702702703	0.19672131147540983	0.17592592592592593	0.15789473684210525	0.12698412698412698	0.2692307692307692	0.2619047619047619	0.13793103448275862	0.2857142857142857	0.24427480916030533	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008130081300813009	0.0	0.0	0.0	0.013157894736842105	0.02912621359223301	0.0481283422459893	0.032520325203252036	0.0481283422459893	0.037037037037037035	0.034482758620689655	0.05263157894736842	0.027777777777777776	0.0	0.037037037037037035	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.006578947368421052	0.031746031746031744	0.01282051282051282	0.0	0.0	0.017857142857142856	0.022900763358778626	
whistling-duck sp.	0.0	0.0	0.008403361344537815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0053475935828877	0.0	0.0	0.018518518518518517	0.0	0.05263157894736842	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.008403361344537815	0.0	0.00625	0.0	0.0	0.007575757575757576	0.008130081300813009	0.0	0.01098901098901099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019736842105263157	0.0	0.01282051282051282	0.0	0.0	0.017857142857142856	0.022900763358778626	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01639344262295082	0.0	0.006578947368421052	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.0	0.0	0.01680672268907563	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006578947368421052	0.009708737864077669	0.0	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.008403361344537815	0.00625	0.0	0.013157894736842105	0.030303030303030304	0.056910569105691054	0.09523809523809523	0.07692307692307693	0.07777777777777778	0.14473684210526316	0.07766990291262135	0.0374331550802139	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	
Blue-winged Teal	0.6942148760330579	0.6554621848739496	0.680672268907563	0.6625	0.7757009345794392	0.7631578947368421	0.7803030303030303	0.7723577235772358	0.8476190476190476	0.8461538461538461	0.8888888888888888	0.8552631578947368	0.7766990291262136	0.5935828877005348	0.43902439024390244	0.35294117647058826	0.4074074074074074	0.27586206896551724	0.47368421052631576	0.2222222222222222	0.3157894736842105	0.4074074074074074	0.10344827586206896	0.05263157894736842	0.0	0.05555555555555555	0.0	0.037037037037037035	0.08	0.0	0.0	0.2631578947368421	0.08	0.2222222222222222	0.25	0.12643678160919541	0.12025316455696203	0.3815789473684211	0.5945945945945946	0.4098360655737705	0.42592592592592593	0.2894736842105263	0.5238095238095238	0.5384615384615384	0.6428571428571429	0.7068965517241379	0.6964285714285714	0.6335877862595419	
Cinnamon Teal	0.0	0.0	0.008403361344537815	0.0125	0.0	0.0	0.007575757575757576	0.016260162601626018	0.009523809523809525	0.01098901098901099	0.011111111111111112	0.006578947368421052	0.0	0.016042780748663103	0.008130081300813009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007633587786259542	
Blue-winged/Cinnamon Teal	0.0	0.0	0.0	0.0	0.0	0.0	0.007575757575757576	0.0	0.009523809523809525	0.0	0.0	0.0	0.0	0.0053475935828877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
