









Frequency of observations in the selected location(s).:
Number of taxa: 	419

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	89.0	88.0	138.0	146.0	93.0	102.0	130.0	127.0	56.0	71.0	91.0	238.0	319.0	484.0	409.0	604.0	243.0	99.0	52.0	47.0	15.0	4.0	9.0	11.0	8.0	11.0	20.0	32.0	16.0	14.0	25.0	61.0	39.0	27.0	66.0	104.0	91.0	53.0	54.0	114.0	222.0	344.0	102.0	86.0	47.0	47.0	42.0	98.0	

Black-bellied Whistling-Duck	0.056179775280898875	0.045454545454545456	0.028985507246376812	0.07534246575342465	0.053763440860215055	0.029411764705882353	0.16153846153846155	0.1732283464566929	0.25	0.4647887323943662	0.5384615384615384	0.6386554621848739	0.8275862068965517	0.8347107438016529	0.863080684596577	0.8311258278145696	0.8600823045267489	0.8080808080808081	0.7692307692307693	0.7446808510638298	0.8	0.5	1.0	0.7272727272727273	0.625	0.36363636363636365	0.6	0.4375	0.625	0.42857142857142855	0.28	0.22950819672131148	0.28205128205128205	0.1111111111111111	0.13636363636363635	0.1346153846153846	0.07692307692307693	0.1320754716981132	0.1111111111111111	0.08771929824561403	0.10810810810810811	0.06976744186046512	0.049019607843137254	0.10465116279069768	0.02127659574468085	0.02127659574468085	0.07142857142857142	0.08163265306122448	
Fulvous Whistling-Duck	0.0	0.0	0.0	0.00684931506849315	0.0	0.0	0.007692307692307693	0.0	0.0	0.0	0.02197802197802198	0.01680672268907563	0.034482758620689655	0.026859504132231406	0.02444987775061125	0.028145695364238412	0.0411522633744856	0.12121212121212122	0.057692307692307696	0.02127659574468085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.02564102564102564	0.0	0.0	0.0	0.0	0.018867924528301886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
whistling-duck sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016556291390728477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose	0.0	0.0	0.0	0.00684931506849315	0.0	0.00980392156862745	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008771929824561403	0.0	0.05813953488372093	0.0	0.0	0.0	0.0	0.0	0.02040816326530612	
Ross's Goose	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.014084507042253521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005813953488372093	0.0	0.0	0.0	0.0	0.0	0.0015	
Snow/Ross's Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greater White-fronted Goose	0.011235955056179775	0.0	0.0	0.0	0.0	0.00980392156862745	0.0	0.0	0.0	0.014084507042253521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0029069767441860465	0.00980392156862745	0.0	0.0	0.0	0.023809523809523808	0.0	
Domestic goose sp. (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016556291390728477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Canada Goose	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004201680672268907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (Domestic type)	0.0	0.0	0.0	0.0	0.0	0.0	0.007692307692307693	0.007874015748031496	0.017857142857142856	0.0	0.0	0.004201680672268907	0.003134796238244514	0.0	0.0	0.0016556291390728477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004132231404958678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00980392156862745	0.0015	0.0	0.0	0.0	0.0	
Blue-winged Teal	0.550561797752809	0.3977272727272727	0.4492753623188406	0.6164383561643836	0.4946236559139785	0.5882352941176471	0.7153846153846154	0.6535433070866141	0.6607142857142857	0.5915492957746479	0.6263736263736264	0.5252100840336135	0.5172413793103449	0.4297520661157025	0.33007334963325186	0.29304635761589404	0.2345679012345679	0.32323232323232326	0.25	0.2553191489361702	0.06666666666666667	0.0	0.1111111111111111	0.2727272727272727	0.375	0.09090909090909091	0.05	0.0625	0.0625	0.0	0.0	0.04918032786885246	0.10256410256410256	0.25925925925925924	0.18181818181818182	0.125	0.12087912087912088	0.24528301886792453	0.2962962962962963	0.2719298245614035	0.27927927927927926	0.3226744186046512	0.3137254901960784	0.4418604651162791	0.5106382978723404	0.46808510638297873	0.6666666666666666	0.6020408163265306	
Cinnamon Teal	0.0	0.0	0.0	0.00684931506849315	0.0	0.00980392156862745	0.007692307692307693	0.0	0.0	0.0	0.0	0.0	0.0	0.006198347107438017	0.0	0.0016556291390728477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0029069767441860465	0.0	0.0	0.02127659574468085	0.0	0.0	0.0	
