Taxonomic Order,Scientific Name,Common Name,Observation Date,Location,State/Province
33452,Passer domesticus,House Sparrow,2021-01-01,"Blumenthal Neighborhood",US-MN
21806,Poecile atricapillus,Black-capped Chickadee,2021-01-01,"Blumenthal Neighborhood",US-MN
10555,Melanerpes carolinus,Red-bellied Woodpecker,2021-01-01,"Blumenthal Neighborhood",US-MN
20207,Cyanocitta cristata,Blue Jay,2021-01-01,"Blumenthal Neighborhood",US-MN
10740,Dryobates pubescens,Downy Woodpecker,2021-01-01,"Blumenthal Neighborhood",US-MN
10766,Dryobates villosus,Hairy Woodpecker,2021-01-01,"Blumenthal Neighborhood",US-MN
464,Anas platyrhynchos,Mallard,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
639,Lophodytes cucullatus,Hooded Merganser,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
18915,Lanius borealis,Northern Shrike,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
30347,Spinus tristis,American Goldfinch,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
22153,Sitta carolinensis,White-breasted Nuthatch,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
8630,Strix varia,Barred Owl,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
7953,Buteo jamaicensis,Red-tailed Hawk,2021-01-01,"MSP International Airport--Cargo Rd.",US-MN
1784,Columba livia,Rock Pigeon,2021-01-01,"MSP International Airport--Cargo Rd.",US-MN
28432,Sturnus vulgaris,European Starling,2021-01-01,"MSP International Airport--Cargo Rd.",US-MN
22433,Troglodytes hiemalis,Winter Wren,2021-01-01,"Minnesota Valley NWR--Bass Ponds",US-MN
331,Cygnus buccinator,Trumpeter Swan,2021-01-01,"MSP International Airport--Cargo Rd.",US-MN
30396,Plectrophenax nivalis,Snow Bunting,2021-01-01,"MSP International Airport--Cargo Rd.",US-MN
7828,Haliaeetus leucocephalus,Bald Eagle,2021-01-01,"Minnesota Valley NWR--Headquarters",US-MN
11082,Dryocopus pileatus,Pileated Woodpecker,2021-01-01,"Minnesota Valley NWR--Headquarters",US-MN
27999,Turdus migratorius,American Robin,2021-01-01,"Minnesota Valley NWR--Headquarters",US-MN
7973,Buteo lagopus,Rough-legged Hawk,2021-01-01,"Minnesota Valley NWR--Headquarters",US-MN
20471,Corvus brachyrhynchos,American Crow,2021-01-01,"Minnesota Valley NWR--Headquarters",US-MN
30830,Junco hyemalis,Dark-eyed Junco,2021-01-01,"Yard",US-MN
22150,Sitta canadensis,Red-breasted Nuthatch,2021-01-01,"5900 131st St W, Apple Valley US-MN 44.75805, -93.18517",US-MN
32148,Cardinalis cardinalis,Northern Cardinal,2021-01-01,"Yard",US-MN
30326,Spinus pinus,Pine Siskin,2021-01-01,"5900 131st St W, Apple Valley US-MN 44.75805, -93.18517",US-MN
8399,Bubo scandiacus,Snowy Owl,2021-01-01,"MSP Aircraft Viewing Area, Cargo Rd",US-MN
30049,Haemorhous mexicanus,House Finch,2021-01-01,"50XX Belmont Ave S",US-MN
30802,Spizelloides arborea,American Tree Sparrow,2021-01-01,"Fort Snelling SP--Picnic Island",US-MN
8337,Bubo virginianus,Great Horned Owl,2021-01-01,"Fort Snelling SP",US-MN
